num_critic_for_reviews,duration,director_facebook_likes,lead_actor_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,aspect_ratio,movie_facebook_likes,imdb_score_high
211,102,25,1000,41797066,92789,4324,0,998,4.00E+07,2007,2.35,0,0
141,124,0,22000,71069884,101899,32871,0,445,6.80E+07,2001,2.35,0,0
145,83,0,82,184925485,133348,229,1,204,2.00E+06,1937,1.37,0,1
302,169,563,40000,309404152,471220,48350,0,1238,3.00E+08,2007,2.35,0,1
529,105,81,11000,176740650,403836,13118,0,646,9.30E+07,2011,2.35,47000,1
141,145,80,13000,117235247,375240,16094,0,542,960000,1976,1.33,0,1
285,161,0,273,56715371,427357,727,0,1736,1.20E+07,1968,2.2,24000,1
136,91,446,1000,51475962,177828,3969,0,714,3.00E+07,2003,2.35,11000,1
109,139,488,10000,153620822,189923,12182,0,318,5.00E+07,1996,1.85,0,1
302,122,2000,2000,18593156,88682,6161,1,241,3.50E+07,2008,2.35,0,1
278,100,92,3000,12574715,112138,4198,0,237,4500000,2009,2.35,12000,1
263,79,30,940,31743332,111117,1594,0,245,3.00E+07,2009,1.85,13000,1
39,98,13,3000,296665,12675,5185,1,158,5.00E+06,2003,1.85,0,0
25,93,70,692,5694308,13815,3128,0,46,7.00E+06,2007,1.85,446,0
487,94,0,13000,45507053,237848,27911,2,377,1.60E+07,2012,1.85,71000,1
165,109,65,798,78845130,17596,2480,1,94,1.00E+07,2016,2.35,0,0
93,107,26,889,10956379,21506,3274,0,364,3.50E+07,2007,2.35,0,0
44,133,277,25000,11030963,24145,48482,2,93,2.80E+07,1996,1.85,0,1
167,125,212,613,41814863,28635,1970,0,308,5.00E+07,2004,2,893,0
150,120,11,11000,18663911,46204,12554,1,151,16500000,2007,2.35,0,1
112,98,80,567,8662318,15033,2016,1,75,1.70E+07,2009,1.85,0,0
181,81,670,486,7267324,161471,623,1,709,3500000,1998,1.85,0,1
280,122,0,12000,1697956,64944,13809,2,212,2.00E+07,2009,1.85,6000,0
224,188,0,786,22450975,241030,1906,1,1437,3.70E+07,1999,2.35,13000,1
16,132,0,405,30400000,9503,914,1,68,1.20E+07,1983,1.85,0,0
121,93,0,1000,119500000,95294,4701,0,363,2600000,1974,2.35,12000,1
328,192,0,5000,377019252,1215718,6434,2,3189,9.40E+07,2003,2.35,16000,1
489,108,232,149,25440971,289508,430,0,611,1.50E+07,2015,2.35,109000,1
154,110,0,10000,180965237,300542,12760,0,378,8.00E+07,1996,2.35,0,1
99,90,16,44,24430272,46158,132,3,403,4.30E+07,2002,1.85,0,0
54,120,278,844,763044,4257,3286,4,52,2.30E+07,2003,1.85,188,0
103,109,7,835,16346122,25549,2572,0,171,1.60E+07,2002,1.85,0,1
45,85,0,22000,100669,2522,36885,1,11,3800000,2009,2.35,407,0
184,96,9,826,47852604,62364,1825,0,337,2.00E+07,2007,2.35,0,0
47,94,258,721,11508423,3174,2453,2,19,2.30E+07,2008,2.35,376,0
522,93,0,15000,54696902,379462,16034,3,571,3.20E+07,2011,1.85,56000,1
63,125,0,939,45645204,39306,1748,2,119,3.00E+07,1989,2.35,0,0
568,149,21000,835,167735396,569841,4348,0,1127,6.10E+07,2014,2.35,146000,1
446,201,0,6000,218051260,316018,7123,0,2618,2.07E+08,2005,2.35,0,1
87,90,65,11000,39442871,80639,25190,0,237,8.00E+07,2000,1.85,0,0
118,134,0,541,183662,18395,890,6,48,2.50E+07,2010,2.35,0,1
71,98,11000,13000,39800000,81599,14921,3,250,6.00E+06,1980,1.85,0,1
388,146,14000,25000,79883359,116159,46726,1,488,6.60E+07,2011,2.35,28000,1
284,142,0,20000,310675583,464310,42990,3,3516,1.15E+08,2002,1.78,0,0
104,101,37,2000,13208023,17309,4262,1,388,4.20E+07,2002,2.35,612,0
112,93,221,12000,163479795,161858,26760,0,289,34200000,1999,1.85,0,0
228,89,77,490,47553512,54101,1367,0,210,5.00E+07,2014,1.85,15000,0
62,121,272,49000,123922370,98348,50141,1,131,1.30E+07,1987,1.85,0,1
61,197,176,924,46300000,29323,4109,0,344,9400000,1963,2.76,0,1
166,101,57,1000,10268846,31918,1947,1,142,3.50E+07,2009,2.35,0,0
15,85,0,66,381225,131,66,0,13,2.00E+05,2004,1.78,30,1
178,116,84,11000,77086030,65297,14931,0,602,6.20E+07,2000,2.35,0,0
196,113,719,605,119412921,240241,1441,0,391,6.50E+07,1990,1.85,0,1
31,104,10,507,143653,1177,1281,0,10,4.00E+06,2014,2.35,0,0
106,117,99,596,67325559,58222,1293,0,331,2.00E+07,2003,1.85,0,1
100,133,272,10000,172825435,383784,12285,3,331,2.50E+07,1988,1.85,12000,1
55,98,11000,816,61400000,71183,3617,1,183,1.50E+07,1983,1.85,0,1
31,300,6,7,454255,1666,32,3,47,4.00E+08,2001,1.85,124,0
65,101,3,448,12189514,30092,829,0,129,2.30E+07,2004,2.35,0,0
3,78,6,32,243768,143,72,0,9,30000,2007,2.35,13,0
295,157,179,21000,289994397,385670,53413,1,1896,1.50E+08,2005,2.35,0,1
109,92,13000,925,73326666,189413,1953,3,306,1.50E+07,1988,1.85,15000,1
297,108,0,1000,43771291,79909,3215,1,279,5.00E+06,2015,2.35,15000,1
245,124,0,22000,3081925,55842,24732,0,274,2.10E+07,2008,2.35,13000,1
272,105,545,795,23219748,84508,1099,0,308,8.00E+07,2014,2.35,20000,0
163,101,16,943,6350058,106098,2786,3,150,8.00E+06,2010,1.85,20000,1
221,97,25,929,21371425,76199,3679,0,944,1.00E+07,2010,2.35,13000,0
69,94,906,2000,36985501,11212,3917,0,94,2.60E+07,2002,1.85,874,0
165,94,12,17000,177343675,70133,17883,0,214,1.35E+08,2015,1.85,26000,0
169,125,608,979,3753806,20307,3133,1,165,1.10E+07,2004,1.85,0,1
43,83,88,3000,51109400,76850,4767,5,85,3.00E+07,1994,1.85,1000,0
117,119,188,187,6047856,27536,358,4,327,8500000,2000,1.85,1000,0
156,215,0,648,36385763,138941,1937,0,1448,5.20E+07,1998,2.35,0,1
362,166,21000,11000,127490802,459346,13333,2,822,1.50E+08,2008,2.35,23000,1
78,92,8,472,18843314,27486,1045,1,284,2.00E+07,2006,1.85,0,0
117,104,293,780,30063805,31788,2109,0,243,6.00E+07,2002,2.35,0,0
354,129,235,13000,134520804,336235,13961,1,782,1.10E+08,2007,2.35,0,1
55,115,293,49000,135014968,80580,74382,1,375,5.00E+07,1998,2.35,0,0
111,86,82,869,38232624,88518,3854,0,409,3.00E+07,2008,1.85,0,0
58,98,70,462,15361537,12263,1855,0,132,1.30E+07,2002,1.85,564,0
126,127,79,12000,5128124,44198,12574,1,251,2.50E+07,2005,2.35,11000,1
40,110,0,721,3468572,10073,1966,0,78,4.00E+06,1988,1.85,816,1
122,161,767,682,27200000,149444,1035,2,273,3.00E+06,1957,2.35,0,1
195,120,0,865,101334374,124941,2321,5,488,2.40E+07,1997,2.35,0,0
156,99,212,576,18821279,44891,1520,0,202,7.00E+07,2014,2.35,12000,0
173,106,0,269,13622333,91377,361,1,385,2.00E+06,2001,1.85,0,1
223,190,0,599,124107476,170684,1418,0,867,4.80E+07,2000,1.85,0,1
471,117,212,11000,27296514,326494,17738,0,340,5.00E+06,2013,2.35,65000,1
274,123,628,565,15294553,202341,1595,1,391,1.20E+07,2013,2.35,105000,1
235,91,49,72,36200000,31952,174,0,372,4.00E+06,1982,2.35,0,0
121,97,3,24000,16699684,17461,25792,1,78,8.00E+06,2009,1.85,0,0
267,132,50,992,46982632,172792,1933,0,1740,5.00E+07,2006,2.35,0,0
216,118,473,18000,73343413,217480,22517,0,429,5.00E+07,2009,2.35,21000,1
446,201,0,6000,218051260,316027,7122,0,2618,2.07E+08,2005,2.35,0,1
703,173,0,26000,623279547,995415,87697,3,1722,2.20E+08,2012,1.85,123000,1
739,120,750,27000,153629485,552503,40025,0,1588,1.50E+08,2015,2.35,191000,1
231,90,56,56,2283276,46107,56,0,156,1500000,2008,1.85,0,1
40,110,23,633,30102717,28736,874,2,72,1.50E+07,1991,1.85,0,0
161,110,72,18000,67061228,96565,21554,1,135,4.00E+07,2010,2.35,0,0
197,101,119,334,12995673,52286,338,1,345,2500000,2008,1.78,24000,1
375,109,97,17000,138447667,408302,19968,2,345,4.20E+07,2012,2.35,39000,1
64,84,12,159,3100650,7277,417,4,181,1.40E+07,2001,1.85,231,0
203,109,64,16000,33305037,33856,17866,2,147,1.10E+07,2015,2.35,34000,1
358,128,79,13000,50815288,109191,14747,0,625,5.00E+07,2005,2.35,0,0
152,102,0,14000,7993039,120036,18643,1,408,6900000,1993,1.85,10000,1
169,131,0,8000,125548685,135246,10003,0,498,5.20E+07,2000,1.85,0,1
233,216,17000,29000,77679638,314033,47657,3,1166,1.00E+08,2002,2.35,0,1
111,105,13000,40000,56362352,357581,42330,0,588,2.00E+07,1990,1.85,16000,1
90,125,46,368,58800000,40511,1651,0,213,5500000,1981,1.85,0,1
91,110,164,258,15156200,15358,571,2,131,3.00E+07,1999,2.35,328,0
134,100,14,3000,12561,71276,4094,2,181,1.90E+07,2010,2.35,13000,0
411,104,16,14000,71897215,126893,14504,0,440,1.50E+07,2016,2.35,33000,1
548,165,0,230,25359200,266020,673,0,836,4.00E+06,2014,1.85,92000,1
131,121,102,117,5660084,41620,286,0,418,5.40E+07,2003,2.35,2000,0
202,110,118,13000,22494487,262153,26451,3,507,2.70E+07,2006,2.35,10000,1
149,91,9,130,4946250,9540,198,0,80,1.00E+06,2013,1.78,14000,1
35,107,6,23000,819939,14580,26017,2,252,850000,2003,1.85,0,1
158,109,11,22000,35537564,49671,24063,1,166,11500000,2016,2.35,11000,0
396,144,0,662,318759914,513158,2333,0,1782,1.50E+08,2007,2.35,8000,1
204,108,0,2000,81257845,210680,4403,1,479,3.50E+07,2003,1.85,0,1
106,113,31,5000,128978,22897,6267,2,61,4.00E+07,2007,2.35,0,1
41,97,0,922,1046166,2599,1835,4,45,9.00E+06,2005,2.35,128,0
214,112,43,11000,42478175,93767,15327,1,209,2.50E+07,2015,2.35,34000,1
248,96,50,3,484221,23836,6,1,107,1.00E+06,2012,1.85,20000,1
253,106,0,22000,78747585,89770,35367,0,342,8.80E+07,2015,2.35,39000,0
8,65,0,0,8231,803,0,1,16,27000,1971,1.37,85,0
230,129,0,18000,88504640,273108,19148,2,646,4.50E+07,2006,2.35,0,1
39,99,7,3000,5871603,3116,6485,3,39,1.30E+07,1999,1.85,251,0
47,98,12,393,795126,4976,955,1,52,6.00E+06,2004,1.85,989,1
490,143,1000,29000,144812796,362933,29769,4,753,1.05E+08,2013,2.35,115000,1
469,125,364,12000,172051787,264183,25550,0,665,1.70E+08,2010,2.35,30000,0
279,90,57,1000,258113,42678,1528,0,135,1066167,2013,2.35,0,1
271,86,365,934,4007792,101287,2714,0,260,750000,2012,2.35,31000,0
122,88,0,2000,112692062,84325,4499,0,205,3.50E+07,2001,1.85,0,0
101,91,287,3000,20950820,24183,5593,4,160,8.00E+07,2003,2.35,665,0
141,127,503,5000,129734803,127497,6171,2,287,1.40E+08,1998,2.35,0,0
137,136,835,670,51768623,73006,1801,1,297,4.30E+07,2000,2.35,0,1
120,112,460,990,4306697,26720,2820,0,196,5.00E+06,1997,2.35,920,1
117,88,21,1000,104077,46076,4720,2,88,1.00E+06,2006,1.78,11000,1
31,109,148,2000,14821531,6915,3843,2,209,6.00E+06,1997,1.85,599,1
53,90,10,49000,92969824,63625,50005,1,64,8.00E+07,1997,1.85,0,0
96,131,108,23000,25528495,28099,23325,2,220,5.70E+07,2001,2.35,0,0
355,111,214,10000,56692,177401,23566,2,504,2.50E+07,2009,2.35,32000,1
143,88,7,2000,120618403,171792,4478,0,222,9.00E+07,1998,1.66,12000,1
52,95,0,899,7881335,21212,3092,4,107,1.30E+07,1994,1.66,3000,0
14,90,7,890,92362,444,3138,7,5,1500000,2005,1.85,68,0
712,169,22000,11000,187991439,928227,31488,1,2725,1.65E+08,2014,2.35,349000,1
28,80,0,191,99851,1138,210,0,30,2500000,2010,1.78,0,1
576,100,405,996,44667095,190030,4606,0,583,1.50E+07,2011,1.33,30000,1
36,97,781,596,117560,2330,1081,0,29,6.00E+06,2006,1.85,224,0
106,110,787,1000,2365931,36657,4762,2,318,1500000,1998,1.85,0,1
129,100,10,826,20566327,15385,2958,2,84,1.50E+07,2016,2.35,0,0
191,93,8,8000,118153533,129995,13232,2,246,6.10E+07,2007,1.85,0,0
38,108,14,1000,594904,2582,1805,0,89,1200000,2012,1.85,0,0
60,114,160,1000,18252684,18366,1816,2,219,3.00E+07,1998,1.85,0,0
135,94,607,933,34238611,35830,2248,1,321,5.50E+07,2003,1.85,0,0
4,100,0,1000,2024854,564,1942,2,21,6500000,2005,2.35,19,0
669,108,0,20000,106952327,551363,38072,1,1140,1.30E+07,2010,2.35,106000,1
308,135,0,873,43982842,125109,2370,1,593,6.50E+07,2009,2.35,16000,0
274,90,0,648,101055,17478,1951,0,159,4.00E+06,2009,2.35,0,0
343,82,119,332,128505958,297014,505,1,1198,1.80E+07,2006,1.85,0,1
359,140,0,20000,380262555,520104,44042,4,3286,1.13E+08,2005,2.35,10000,1
277,88,365,383,30859000,96411,1094,0,826,83532,1974,1.85,0,1
242,87,49,309,19100000,39690,707,0,394,1250000,1981,1.85,0,0
100,112,0,11000,115000000,63839,14954,1,238,777000,1973,2.35,0,1
308,107,0,11000,3675072,190132,11623,0,801,2.60E+07,2007,2.35,15000,1
43,78,7,308,191309,2787,1008,1,64,150000,2004,1.85,98,0
322,95,57,727,3219029,28845,1836,0,125,5.00E+06,2015,2.35,10000,1
343,105,0,2000,201148159,103749,4671,1,323,9.50E+07,2015,2.35,56000,0
210,95,5,24000,143523463,64322,36095,0,145,1.45E+08,2016,2.35,24000,1
116,112,101,896,36020063,62584,2019,2,375,2.20E+07,2005,2.35,0,0
20,97,473,826,27900000,74626,3455,1,157,3500000,1995,1.85,8000,1
167,115,92,559,24800000,89403,1456,0,358,2.00E+06,1963,1.37,0,1
258,159,0,11000,317557891,444683,13191,4,1571,1.25E+08,2001,2.35,16000,1
200,152,0,2000,108638745,292022,4270,0,1103,9.20E+07,2001,2.35,10000,1
207,97,0,11000,93452056,184795,14868,1,310,4.50E+07,2007,1.85,22000,1
525,130,0,44000,234903076,175409,73441,4,511,2.15E+08,2013,2.35,60000,0
34,94,36,13000,13801755,23928,15183,1,100,2.00E+07,1997,1.85,0,0
202,106,42,14000,27356090,58752,16922,0,117,9.00E+07,2015,2.35,21000,0
337,95,20,422,5997134,36381,1899,3,126,1.00E+06,2012,1.85,11000,1
132,96,31,651,16667084,90070,3119,0,248,1.10E+07,1990,1.85,11000,1
62,124,0,2000,54800000,35130,5122,3,283,6.00E+06,1980,1.85,0,1
72,251,311,940,57750000,21554,2957,2,192,31115000,1963,2.2,0,0
225,109,187,818,214966,28483,1813,0,176,1.30E+07,2010,2.35,0,0
162,91,420,268,140080850,121084,1125,2,221,1.40E+08,2007,2.35,0,0
183,106,87,8000,68558662,86627,10882,0,204,9.00E+07,2013,2.35,28000,0
41,111,0,18000,22551000,37269,37645,0,165,8.00E+06,1993,1.85,0,1
238,128,0,29000,39380442,174248,29824,1,263,7.00E+07,2008,2.35,0,1
208,88,20,144,130174897,27918,309,0,155,9.90E+07,2015,1.85,33000,1
152,113,17,87000,34636443,93790,103354,0,288,5.20E+07,2005,2.35,0,0
131,101,61,769,2060953,29990,2543,0,316,1.20E+07,1999,2.35,0,1
447,127,0,678,225377,70382,1557,1,190,8900000,2012,1.85,33000,1
16,95,14,284,15278,1742,1185,1,158,825000,2002,1.85,409,0
318,106,0,852,83574831,109214,2975,0,269,5.00E+06,2013,2.35,35000,0
137,90,65,1000,10042266,23021,3155,0,220,1.00E+06,2005,2.35,816,0
271,94,293,18000,32416109,109620,32474,0,268,2.50E+07,2009,2.35,15000,0
157,122,47,23000,6855137,88590,27381,2,419,1.70E+07,2006,2.35,0,1
464,116,176,783,118099659,69790,2097,4,1211,1.44E+08,2016,2.35,62000,0
101,99,9,975,38048637,47814,3500,4,426,1.40E+07,1998,2.35,0,0
166,74,487,15000,191796233,623757,19046,1,391,3.00E+07,1995,1.85,0,1
230,119,13000,1000,180011740,177729,2776,0,1368,1.00E+08,2001,2.35,0,0
141,78,10,558,89296573,128285,2039,1,297,1.00E+08,2000,1.66,0,1
40,99,379,456,5333658,2541,1356,2,54,2.00E+07,1982,1.85,0,0
145,103,11000,22000,106694016,123940,24333,2,337,3.00E+07,1999,1.85,0,0
59,72,5,659,28501605,31371,2646,0,166,1.30E+07,1990,1.85,0,0
197,119,59,2000,39440655,61680,4315,1,222,5.50E+07,2010,2.35,19000,0
143,90,241,1000,81517441,111368,3148,1,394,5.00E+07,1999,2.35,0,1
66,104,170,736,4273372,19412,1854,1,308,2.20E+07,2001,2.35,0,0
134,143,338,12000,82300000,63330,16007,2,405,3.50E+07,1979,2.35,0,0
78,91,29,861,27087695,41664,2543,0,205,17700000,2001,1.85,0,0
65,112,759,11000,4554569,8134,17873,4,123,2.80E+07,1999,2.35,209,0
265,101,0,19000,44566004,321283,32015,0,1848,4.00E+06,2003,1.85,17000,1
193,150,2000,396,32519322,497946,1075,0,761,3.50E+07,2002,1.85,21000,1
159,140,2000,15000,172071312,208817,17171,0,296,6.20E+07,1995,2.35,5000,1
238,108,58,14000,143704210,145974,26002,1,611,5.20E+07,2008,2.35,10000,0
251,95,571,499,7774730,61912,1120,0,352,15500000,2006,1.85,0,0
56,114,65,743,12065985,16260,2367,1,88,6.00E+07,1998,2.35,296,0
349,167,473,559,161029270,119928,2702,0,331,2.80E+07,2015,2.35,76000,1
187,121,83,3000,23472900,264533,4142,1,609,17500000,2004,2.35,12000,1
16,100,12,245,982214,1976,295,0,51,1.00E+06,1998,1.85,603,1
190,110,115,812,3148482,29613,1540,0,98,1.20E+07,2008,2.35,0,1
218,129,628,14000,59365105,318634,28886,9,1004,4.50E+07,2003,2.35,52000,1
117,131,53,14000,3752725,29715,16252,3,161,1.80E+07,2004,2.35,0,1
224,113,0,133,45063889,297250,241,0,1441,8.00E+06,2002,1.85,11000,1
164,115,107,835,195329763,194249,1815,0,253,8.00E+07,2006,1.85,0,0
105,97,32,893,18535191,12980,2640,3,132,1.40E+07,1999,1.85,646,0
460,117,0,18000,210592590,607235,32360,0,2073,6.50E+07,2006,2.35,13000,1
346,106,78,0,6262942,59545,0,0,312,9.00E+06,2013,2.35,18000,0
92,107,521,773,768045,19732,976,0,120,2.00E+06,2002,1.85,0,1
25,134,0,15,48856,3466,30,0,40,11900000,1993,1.85,355,1
88,90,56,126,110536,4117,284,1,118,40000,2001,1.85,0,0
190,91,27,12000,73661010,71137,17299,0,229,7.50E+07,2006,2.35,0,0
124,112,0,805,7837632,46396,1466,0,287,1.80E+07,1997,1.85,0,1
79,129,0,844,54000000,26310,2330,0,154,1.60E+07,1982,1.85,0,1
292,101,243,969,77501,27260,1252,0,247,750000,2011,2.35,0,0
122,136,0,12000,134006721,259492,15999,1,415,7.50E+07,1996,2.35,51000,1
348,101,473,833,190871240,167089,2690,0,491,1.25E+08,2014,2.35,62000,0
47,117,176,11000,83287363,81442,12757,1,137,4.50E+07,1992,2.35,0,0
119,93,19,15000,3749061,28629,30134,3,113,2.00E+07,2012,2.35,0,0
133,178,17000,22000,42438300,333542,24183,2,533,5.20E+07,1995,2.35,11000,1
321,103,207,40000,67631157,176598,55175,0,374,1.00E+08,2010,2.35,25000,0
486,126,4000,21000,318298180,696338,39252,3,1055,1.40E+08,2008,2.35,10000,1
139,96,3,18000,48006503,28109,18178,3,110,3.70E+07,2008,2.35,0,0
64,97,11,901,144833357,64742,2790,0,111,2.20E+07,1994,1.85,0,0
323,109,304,939,47536959,86956,3276,0,275,1.00E+07,2009,1.85,12000,1
108,98,176,543,4291965,9334,678,3,59,1.40E+07,2006,2.35,447,0
349,98,75,10000,55682070,159868,11946,2,304,5.00E+07,2013,2.35,45000,0
239,194,0,14000,47396698,217373,19600,1,942,1.30E+08,2005,2.35,0,1
248,119,611,755,11041228,92295,1244,3,420,1.00E+08,2004,2.35,0,1
61,112,83,2000,3058380,4767,2389,1,69,1.00E+08,2000,2.35,186,1
131,91,0,795,1229197,382240,2158,0,660,229575,1975,1.66,14000,1
129,97,70,2000,110222438,96693,3984,2,271,2.60E+07,2003,1.85,0,0
41,94,0,795,511920,2458,2449,1,26,4.00E+07,2008,1.85,211,0
29,93,0,399,906666,154,660,1,5,5.00E+05,2011,16,287,0
387,96,655,24000,143492840,414335,28817,0,881,7500000,2007,1.85,10000,1
289,118,43,740,150368971,316671,3425,4,301,3.70E+07,2013,2.35,35000,0
94,105,102,901,234760500,126464,3464,1,175,1.40E+07,1984,1.85,0,1
84,117,179,1000,52700832,107923,1862,4,197,4500000,1994,1.66,0,1
276,119,0,2000,25335935,242599,2853,0,1594,4.00E+07,2005,2.35,14000,1
126,89,0,628,7764027,38459,2061,0,119,1.00E+07,2013,2.35,0,0
89,200,767,597,111722000,55816,1966,2,255,1.10E+07,1965,2.35,7000,1
300,107,454,65,7757130,307639,173,1,513,1.50E+07,2008,2.35,32000,1
