name,text
Barry,Americans always answer the call. https://t.co/SV1jixOExu https://t.co/ktEvL6s89d
Hillary,"@EricBoehlert Right here:
https://t.co/TOnLRbHJh3"
Don,"Beautiful evening in Topeka, Kansas. VOTE, VOTE, VOTE! #MAGA https://t.co/bomRqsaYfm"
Barry,Clean energy is here to stay. https://t.co/meQoPVWXtg
Don,"“A very exculpatory section of the Mueller Report: NO CONSPIRACY, COORDINATION or COLLUSION with the Trump Campaign and the Russians. You can’t be more clear than that!” @GreggJarrett https://t.co/bcFCtD0DRP"
Barry,Read President Obama's op-ed in the @MiamiHerald on why we can't wait to #ActOnClimate: http://t.co/XZf9ASsVVU
Don,Get out and Early Vote for Brian Kemp. He will be a GREAT GOVERNOR for the State of Georgia!
Don,"Funny how lowly rated CNN, and others, can criticize me at will, even blaming me for the current spate of Bombs and ridiculously comparing this to September 11th and the Oklahoma City bombing, yet when I criticize them they go wild and scream, “it’s just not Presidential!”"
Barry,Sign up now to be covered in the new year: http://t.co/G0hYFVnHeu #BuyNowSaveLater http://t.co/vf8b20UmcC
Don,"....The Radical Left always seems to have an Open Borders, Open Arms policy – so this should make them very happy!"
Hillary,"We are all safer when everyone has respect for the law, and everyone is respected by the law."
Barry,Now's your chance to get covered. The health care marketplace is now open again for all Americans: http://t.co/jPTwVAqvex #ReadySetEnroll
Hillary,"""Our constitutional democracy demands our participation, not just every four years, but all the time."" —Hillary"
Don,Maduro willing to negotiate with opposition in Venezuela following U.S. sanctions and the cutting off of oil revenues. Guaido is being targeted by Venezuelan Supreme Court. Massive protest expected today. Americans should not travel to Venezuela until further notice.
Hillary,"“I believe with all my heart that the American Dream is alive, and it’s big enough for everyone to share its promise.” —Hillary to @CHCI"
Don,"Departing Washington, D.C. for the International Association of Chiefs of Police Annual Convention in Orlando, Florida. Look forward to seeing everyone soon! #IACP2018 https://t.co/EwSd7IU9t1"
Don,"This is the latest and most significant step yet of POTUS showing his willingness to negotiate and compromise with Democrats on the issue of wall funding. At this point, if Democrats refuse to come to the table, it will show they are not at all serious about solving this impasse."
Barry,"In the weekly address, President Obama commemorates the 100th anniversary of the @NatlParkService. https://t.co/TyJS4eBFr5"
Hillary,Gracias señora @HillaryClinton su respeto a las mujeres y nuestras diferencias la hacen grande! Estoy con usted!
Hillary,We are not going to build a wall and deport 16 million people. That's not happening. #DebateNight
Don,"Scott Perry of Pennsylvania is fantastic. He is strong on the Border, Crime, the Military, our Vets and the Second Amendment. Scott has my Total Endorsement!"
Hillary,"As Secretary of State, I helped negotiate the crippling international sanctions that brought Iran to the table. It would be much harder a second time, now that our credibility is shot."
Barry,The United States and Canada are joining together to reduce methane pollution. Read more: https://t.co/RfWitsRxpB #ActOnClimate
Don,"The Economy is one of the best in our history, with unemployment at a 50 year low, and the Stock Market ready to again break a record (set by us many times) - &amp; all you heard yesterday, based on a phony story, was Impeachment. You want to see a Stock Market Crash, Impeach Trump!"
Hillary,"Our democracy is in crisis. The president degrades the rule of law, spreads corruption, and discredits truth. Over the next three weeks, we all have a chance to turn back the tide. Here are three things you can do before November 6:"
Don,"Today I offered a motion to recommit #HR1 reaffirming that only US citizens should have the right to vote. 

Dems rejected it. 

Next time you go to the ballot box, keep that in mind. The future of their party is in cities like San Fran, where illegals can vote. Let that sink in."
Barry,"""No matter who you are, no matter where you live, our parks ... are your birthright as Americans.""  —President Obama  #FindYourPark"
Barry,LAST CALL: Enter for a chance to meet President Obama. http://t.co/0s2pXZGsI0 http://t.co/cbSaQVR4SO
Barry,"All across America people chose to get involved, get engaged and stand up. Each of us can make a difference, and all of us ought to try. So go keep changing the world in 2018."
Hillary,"Trump said pregnancy is an inconvenience for employers.
He dismisses the pay gap.
He said wages are too high.
He wants to defund @PPact."
Don,....the FBI was in complete turmoil (see N.Y. Post) because of Comey’s poor leadership and the way he handled the Clinton mess (not to mention his usurpation of powers from the Justice Department). My firing of James Comey was a great day for America. He was a Crooked Cop......
Barry,We can't govern from crisis to crisis. Add your name if you support a long-term plan to #FundDHS: http://t.co/XEdo1TVpad #EnoughAlready
Hillary,"Millions of Americans will put tax checks in the mail today. Meanwhile, the secretary of the treasury and head of the IRS continue to refuse to turn over Trump's tax returns to Congress for reasons even they can't clearly articulate. #TaxDay"
Barry,Enough has been enough for a long time. Congress needs to vote on sensible gun legislation now. #DisarmHate https://t.co/twRQQnTBvK
Don,"In just 2 days, the people of Tennessee are going to elect @VoteMarsha Blackburn to the United States Senate to protect your jobs, defend your borders, and CONTINUE MAKING AMERICA GREAT AGAIN! Get out on Tuesday and VOTE for Marsha! https://t.co/BJhmItntMo"
Barry,Don't miss this: https://t.co/vc7OAB1bXm #SOTU https://t.co/yVckdjPstM
Don,"For the Democrats to interview in open hearings a convicted liar &amp; fraudster, at the same time as the very important Nuclear Summit with North Korea, is perhaps a new low in American politics and may have contributed to the “walk.” Never done when a president is overseas. Shame!"
Barry,"""Gas under two bucks a gallon ain’t bad, either."" —President Obama #SOTU"
Barry,DEADLINE: Check out your options today for coverage that begins on February 1. https://t.co/NAoDBeHUgQ #GetCovered https://t.co/v9IBRrs3ur
Hillary,"""Government insiders are perplexed."" 

We would go farther.

https://t.co/14uJQv6V6B"
Hillary,"This morning, I woke up feeling hopeful for the power of our voice, for unity, for our continued progress. #VoteLove #ImWithHer https://t.co/rjYJTNhW2Q"
Barry,"Vice President Biden speaks on the ""dangerous precedent"" Senate leaders are setting by refusing to do their jobs. https://t.co/W1A7Oyb4gB"
Barry,Add your name if you agree: We need a full Supreme Court bench for a functioning democracy. https://t.co/CApiDJ5Wgh #DoYourJob
Don,"Today, it was my great honor to sign a Presidential Memorandum launching the Women’s Global Development and Prosperity Initiative. #WGDP 
Read more: https://t.co/qr3jevdayp https://t.co/HyIPPm4Q7b"
Don,Mueller report full of gossip targeting @realDonaldTrump. https://t.co/lPEroontdg
Barry,Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. https://t.co/jKJNCrQALL
Don,"....the Border, or large sections of the Border, next week. This would be so easy for Mexico to do, but they just take our money and “talk.” Besides, we lose so much money with them, especially when you add in drug trafficking etc.), that the Border closing would be a good thing!"
Hillary,7 ways Hillary's policies would help you in your daily life: https://t.co/f7oDXlVyx6
Don,"“China officially echoed President Donald Trump’s optimism over bilateral trade talks. Chinese officials have begun preparing to restart imports of U.S. Soybeans &amp; Liquified Natural Gas, the first sign confirming the claims of President Donald Trump and the White House that......"
Hillary,Ambassador @McFaul is a patriot who has spent his career standing up for America. To see the White House even hesitate to defend a diplomat is deeply troubling. https://t.co/gI8K8Tjg3M
Hillary,"Good morning to everyone who has already made a plan to canvass and phonebank this weekend 

Ready to help GOTV and build the #BlueWave? <U+0001F30A><U+0001F30A><U+0001F30A>

https://t.co/hIwojc1iIx"
Don,"The United States has ended the ridiculous 230 Million Dollar yearly development payment to Syria. Saudi Arabia and other rich countries in the Middle East will start making payments instead of the U.S. I want to develop the U.S., our military and countries that help us!"
Hillary,"Trump says ""you can't lead this nation if you have such a low opinion for its citizens.""

What Trump's also said: https://t.co/uDUUgpSW8z"
Hillary,“I believe America’s best days are still ahead of us.” —Hillary https://t.co/hzhThRsb3x
Hillary,"""Hillary knows that our country is powerful and vibrant and strong—big enough to have a place for all of us."" —@FLOTUS"
Barry,The deadline is here. Go #GetCoveredNow: http://t.co/xTRj74V0N6 http://t.co/ykQVuz3NC8
Don,“2020 odds: @realDonaldTrump favored more than every other challenger combined” via @SecretsBedard @dcexaminer https://t.co/fUspNUhlgJ
Barry,Retweet if you support American leadership on climate change. #ActOnClimate https://t.co/nzUDGeuE7v
Don,"GREAT AGAIN:

Prior to 2018, unemployment has only been below 4% 5 times since 1970

Under Donald Trump, in 2018, unemployment dipped below 4% 7 TIMES—in ONE year!

What exactly are the Democrats resisting?

<U+0001F914>"
Don,"...And it will get, as I have always said, much better from even here! https://t.co/El26RzBjpG"
Hillary,"""A lifetime’s commitment to solving problems in the real world qualifies Hillary Clinton for this job."" —@NYTimes https://t.co/qaswl7IOOJ"
Barry,"If you submit a video on your high school and the @FAFSA, FLOTUS might speak at graduation. http://t.co/fOcbGMsSVU http://t.co/Kdj53brEKF"
Barry,New limits on methane pollution will help curb climate change and protect public health: http://t.co/lQNiKqDsZO #ActOnClimate
Hillary,"""If you're a young person worried about affording college, [Hillary] has a plan to make your education tuition-free."" —@FLOTUS"
Barry,Take a moment and say what you're ready to fight for in 2015: http://t.co/aACkumiQ2a
Hillary,"Americans can't afford another day. Call your senator and demand a vote to re-open: (202) 224-3121

And make sure your friends and family in Kentucky call @senatemajldr:

Louisville: (502) 582-6304
Lexington: (859) 224-8286
Bowling Green: (270) 781-1673
Washington: (202) 224-2541"
Don,"The reporters never saw the evidence. They went off of a source who said it was “credible”. This isn’t journalism. 

Congratulations, Buzzfeed and CNN are head to head on the Fake News award. https://t.co/589cjvvlST"
Barry,"""If we're going to be connected, then we need to be protected."" —President Obama #Cybersecurity"
Hillary,"""No one will work harder to make your life better. I’ll never stop, no matter how tough it gets."" —Hillary https://t.co/TyXrp8PgsW"
Don,MAKE AMERICA GREAT AGAIN!
Don,MAKE AMERICA GREAT AGAIN!
Barry,"""If you haven’t looked at your new coverage options, you’ve still got time to get covered."" —President Obama https://t.co/YlrvNmY65K"
Barry,"""I will not let this Congress endanger the health of our children by turning back our efforts."" —President Obama #SOTU #ActOnClimate"
Barry,Sign @OFA's petition to let the Senate know you demand a fair Supreme Court nomination process: https://t.co/SeDGtpwnU5
Don,"“After The Flight 93 Election, The Vote That Saved America - And What We Still Have To Lose,” by very talented Michael Anton, is a terrific read. Check it out!"
Barry,"According to a recent poll, a clear majority of Americans don't want federal #Obamacare subsidies rolled back: http://t.co/4aYVdAzKVh"
Hillary,Watch live: @POTUS hits the campaign trail for Hillary in Miami. https://t.co/lFWJRhSouE
Don,Republican Senators are overthinking tomorrow’s vote on National Emergency. It is very simply Border Security/No Crime - Should not be thought of any other way. We have a MAJOR NATIONAL EMERGENCY at our Border and the People of our Country know it very well!
Barry,"""14 of the 15 warmest years on record have all fallen in the first 15 years of this century."" —President Obama #SOTU #ActOnClimate"
Don,"If anybody but Donald Trump did what I did in Syria, which was an ISIS loaded mess when I became President, they would be a national hero. ISIS is mostly gone, we’re slowly sending our troops back home to be with their families, while at the same time fighting ISIS remnants......"
Don,“Judge Brett Kavanaugh is an Exceptionally Qualified and Deserving Nominee for the Supreme Court” https://t.co/nD5XZo9yIm
Barry,The fight for equality is not over. #WomensEqualityDay http://t.co/NBkDlgFYpc
Don,"Rudy Giuliani did a GREAT job as Mayor of NYC during the period of September 11th. His leadership, bravery and skill must never be forgotten. Rudy is a TRUE WARRIOR!"
Barry,.@POTUS busts a move with Alaskan middle schoolers http://t.co/1DzLfhMDtk  #ObamaAK #Alaska via @KristenhCNN http://t.co/v17fS9tYIi
Barry,"""America has always done better economically when we're all in it together. When everyone gets a fair shot."" —President Obama"
Don,"Great honor to be headed to the Army-Navy game today. Will be there shortly, landing now! https://t.co/ByAfESq8aS"
Barry,Watch: We hosted a Town Hall in New Delhi with @BarackObama and young leaders about how to drive change and make an impact in India and around the world. #ObamaInIndia https://t.co/0Oo9q39tIf
Hillary,"If they win, they’ll do great things for America. Let's exercise our birthright as Americans today, put those people in office, and continue the hard work of saving our democracy. 

It'll take all of us. Happy Election Day."
Hillary,10. How did the Russian mob boss who ran a criminal organization out of Trump Tower get a VIP pass to your Miss Universe pageant in Moscow?
Hillary,"Based on my work, this is a good example for us to consider. The goal has to be quality, affordable universal health care for everyone. https://t.co/gdzYZhK0mc"
Barry,Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/peV6aCYswa #DoYourJob
Hillary,'We always have to appeal to our better selves. The job of a leader is to appeal to us to be better than we would be on our own.' @HillaryClinton's advice for the 2020 candidates #WITW
Barry,LIVE: President Obama is talking about how to make our communities safer by reducing gun violence in America. https://t.co/GGThaBxkO3
Barry,"These three Marines lowered the American flag in #Cuba in 1961. Today, they raised it again: http://t.co/sxr8aseZjw"
Barry,"Of all the things you do today, getting covered before the enrollment deadline could be the most crucial: http://t.co/3uAVMQWgm4 #GetCovered"
Barry,President Obama announced a pause on new coal leases on federal lands—a step forward in the fight to #ActOnClimate: https://t.co/boMQbHvImy
Don,"Thank you to the Republican National Committee, (the RNC), who voted UNANIMOUSLY yesterday to support me in the upcoming 2020 Election. Considering that we have done more than any Administration in the first two years, this should be easy. More great things now in the works!"
Barry,"""In our criminal justice system, the punishment should fit the crime."" —President Obama https://t.co/eKF7oIwbRy"
Hillary,"Bill, Chelsea and I are excited to meet a @ClintonFdn supporter next month in New York! Your support helps change lives around the world—hope you'll throw your hat in the ring to join us: https://t.co/bt5Fht8s2b"
Hillary,This race comes down to two things: what kind of future we want for our kids and how we achieve it. https://t.co/nkwAOnFbJl
Barry,"""America is about giving everybody willing to work a chance."" —President Obama #SOTU"
Hillary,"It's been 5 years, and Trump's still pushing the notion that @POTUS isn't American. https://t.co/TApNqSOcvN"
Barry,Say you support decisive action to tackle climate change. https://t.co/S9gkxn0wpv #ActOnClimate
Barry,Meet @GQMagazine's 2015 Man of the Year: President @BarackObama. https://t.co/HoaCoPm22s
Hillary,"North Dakota tribes need $100K to get tribal IDs to voters, after ND Republicans attempt to disenfranchise them. Daily Kos is raising the money for the effort, and WOAH within the first few minutes we're already at $34,000! Let's finish strong: https://t.co/8IORrRlDYi"
Hillary,"Winning back the House was a pipe dream a year ago. @IndivisibleTeam, an @OnwardTogether partner, helped win 40 seats. Now they're going on offense in the House and building power in the states. Read their roadmap for the next two years: https://t.co/oci7KWygwW"
Don,"I have instructed Secretary of State Mike Pompeo, and he fully agrees, not to allow Hoda Muthana back into the Country!"
Don,".@DBongino’s new book, ""Spygate: The Attempted Sabotage of Donald J. Trump,"" is terrific. He's tough, he's smart, and he really gets it. His book is on sale now, I highly recommend!"
Hillary,Let's be clear: This administration's dehumanization and cruelty toward migrants will not stop after Kirstjen Nielsen leaves office. It is their principal policy.
Hillary,"""It's about time this country had somebody running it who has an idea about money."" —Trump #debatenight https://t.co/dpDrKCHVCd"
Don,".....and G.M. would not be closing their plants in Ohio, Michigan &amp; Maryland. Get smart Congress. Also, the countries that send us cars have taken advantage of the U.S. for decades. The President has great power on this issue - Because of the G.M. event, it is being studied now!"
Barry,This is a big deadline—don't miss out. http://t.co/ZD8kRmtvrd
Don,“We the people will now be subjected to the biggest display of modern day McCarthyism....which is the widest fishing net expedition....every aspect of the presidents life....all in order to get power back so they can institute Socialism.” @seanhannity
Don,Thank you @nycemergencymgt! https://t.co/8jR4DLm99t
Hillary,"“We know the difference between leadership and dictatorship, and the peaceful transition of power is one of the things that sets us apart.”"
Don,"Poll: Suburban women are coming back into the Republican Party in droves “because of the Wall and Border Security. 70% support Border Security and the Wall.” Not believing the Walls are immoral line. Beverly Hallberg, Independent Women’s Forum @KatiePavlich  A great USA issue!"
Don,@dbongino I certainly won't be voting for this guy!
Barry,"We're seeing the fastest rise in sea-levels in nearly 3,000 years: https://t.co/MwO2QKE4GW #ActOnClimate"
Hillary,"So think of a woman you know who should run for office. Then take a moment today to ask her to do it. 

Tell her she'll have help from @emergeamerica, @emilyslist, @runforsomething, and you. 

With one question, you could start something pretty big."
Barry,"This #Valentines Day, speak up for equality: https://t.co/WAuwEmxUhm #LoveIsLove"
Don,"President Obama, thank you for your great support – I have been saying this all along! https://t.co/L506g9Aq4z"
Barry,"""In the face of hate and violence, we will love one another. We will not give into fear."" —@POTUS https://t.co/i7fOS38GzH"
Don,"LIVE: President @realdonaldtrump #MAGA rally in Charlotte, NC https://t.co/mi9Nh8TecI"
Barry,"""We're now in the midst of the longest streak of private-sector growth on record."" —President Obama"
Barry,Take a look at what editorial boards across the country think of the Senate refusing to do its job: https://t.co/6n3JNK6WoZ #DoYourJob
Hillary,"""Hillary...crushed Donald Trump in the most effective series of debate performances in modern political history."" https://t.co/xlGor2ZAYQ"
Hillary,.@TheEconomist ranked Donald Trump and his economic policies as tied for 4th among the greatest risks to the world economy. #DebateNight https://t.co/dWTsvcA47n
Hillary,"""When you’re knocked down, what matters is whether you get up again...I’m not stopping now.” —Hillary"
Hillary,This is horrific. We cannot allow this man to become president. https://t.co/RwhW7yeFI2
Barry,"President Obama: I’ll keep pushing for progress on immigration, gun violence, equal pay, paid leave, raising the minimum wage. #SOTU"
Don,"FLORIDA - It is imperative that you heed the directions of your State and Local Officials. Please be prepared, be careful and be SAFE! 
#HurricaneMichael https://t.co/VP6PBXfzm9 https://t.co/aKmaDNgZve"
Don,".@JohnChrin of Pennsylvania is fantastic. He is strong on the Border, Crime, the Military, our Vets and the 2nd Amendment. He is a powerful vote for #MAGA and loves the Great State of Pennsylvania. Please get out and vote for John, he has my Total and very Strong Endorsement!"
Don,"That’s because they treat me fairly!
“@FoxNews tops @CNN and @MSNBC combined in October cable news ratings” https://t.co/QX56Pwlmj4"
Barry,Restoring the Supreme Court to full strength must remain above Senate leaders' petty politics. #DoYourJob https://t.co/H5EWm5gQug
Hillary,Our neighbors in battleground states need your help. Make calls to remind Hillary supporters to go vote: https://t.co/Iyboc4TNeA
Barry,Retweet if you believe solar energy is critical to America's future. #GoSolar
Don,"Leaving now for Green Bay, Wisconsin - BIG CROWD, will be there shortly! #MAGA"
Barry,Tune in at 4:40 p.m. ET to watch President Obama discuss college affordability with high school students in Iowa: http://t.co/D4mKdbJBIf
Don,"I am in Paris getting ready to celebrate the end of World War One. Is there anything better to celebrate than the end of a war, in particular that one, which was one of the bloodiest and worst of all time?"
Barry,"""I believe this moment can be a turning point for the world."" —President Obama on the #ParisAgreement https://t.co/BMZSntlNfh"
Hillary,"In honor of #InternationalWomensDay, I want to celebrate some of the women and girls who inspire me every day.

These women resist inequality, insist on a better world, persist against all odds, and enlist others in our shared fights."
Don,"“(Crooked) Hillary Clinton confirms she will not run in 2020, rules out a third bid for White House.” Aw-shucks, does that mean I won’t get to run against her again? She will be sorely missed!"
Don,The @WhiteHouse is getting ready for the Christmas season! Thank you to the Smith Family &amp; the National Christmas Tree Association for providing this year's tree.  And to our @NatlParkService for their hard work in trimming the tree for the Blue Room. https://t.co/jiyYBwCeXO
Hillary,"We have an important job for lawyers and law students—but not actors. Sorry, @MrJoshCharles. Text LAWYERS to 47246 to get started. https://t.co/PsonWTpd4C"
Hillary,"Last Tuesday, Americans voted a wave of amazing Democrats into office up and down the ballot, including, for the first time, over 100 women in Congress. This Tuesday, ask someone amazing you know to join them in running for office: https://t.co/HHMRVwZfsD"
Barry,Our statement on the passing of Senator John McCain: https://t.co/3GBjNYxoj5
Hillary,"Donald Trump is good at one thing—driving his companies into the ground.

And now he wants the keys to the U.S. economy. https://t.co/URYyb3mZzy"
Don,"...differences, they will be resolved in time by President Trump and China’s great President Xi Jinping. Their relationship and bond remain very strong."
Hillary,"When anti-choice politicians limit access to reproductive care, women die. 

Please read @ilyseh on why we must continue to fight the new wave of six-week abortion bans that make women collateral damage for extremist views: https://t.co/6Hq32TB4Vl"
Barry,"POTUS invited an old friend, Edith Childs, to his town hall. Edith was the first to say ""Fired Up, Ready to Go!!"" http://t.co/wR6sMr4uHf"
Don,"So funny that The New York Times &amp; The Washington Post got a Pulitzer Prize for their coverage (100% NEGATIVE and FAKE!) of Collusion with Russia - And there was No Collusion! So, they were either duped or corrupt? In any event, their prizes should be taken away by the Committee!"
Barry,Don't let the facts get drowned out. Join the OFA Truth Team today: https://t.co/RgBRNLYdYl https://t.co/SN8HUXw2H4
Barry,"After his State of the Union address, President Obama sent a message for OFA supporters. Read it here: http://t.co/BPshO1WHa8"
Hillary,We found some #FutureVoters at St. Philips College <U+0001F929> https://t.co/EkSaJRbOIP
Barry,"""21st century businesses will rely on American science, technology, research and development."" —President Obama #SOTU"
Barry,Already covered? Make sure to check out your options: http://t.co/6dHBdxY6jg #StayCovered http://t.co/h2pTdnuvd8
Don,Clinton Foundation donations drop 42% - which shows that they illegally played the power game. They monetized their political influence through the Foundation. “During her tenure the State Department was put in the service of the Clinton Foundation.”  Andrew McCarthy
Barry,Get the facts. Cut through the noise with the @OFA Truth Team: https://t.co/4YNdcmVTED https://t.co/OlBqKSgLUZ
Hillary,"""First ladies, we rock."" —@FLOTUS

Get all the highlights from Michelle and Hillary's first-ever joint rally: https://t.co/k7M8R4cEQa"
Hillary,Hillary teamed up with @BernieSanders on a plan to make college debt-free for all Americans. https://t.co/sdWVzdxIrG
Barry,These are records we can't keep breaking. We must work together to #ActOnClimate. https://t.co/sTxNR10sjK
Don,"Was just briefed by @FEMA_Brock and @SecretaryZinke, who are in California. Thank you to the great Firefighters, First Responders and @FEMA for the incredible job they are doing w/ the California Wildfires. Our Nation appreciates your heroism, courage &amp; genius. God Bless you all!"
Don,"The Fake News Media is going Crazy! They are suffering a major “breakdown,” have ZERO credibility or respect, &amp; must be thinking about going legit. I have learned to live with Fake News, which has never been more corrupt than it is right now. Someday, I will tell you the secret!"
Don,"The three very weak and untalented late night “hosts” are “fighting over table scraps. Carson did a great job, it wasn’t political. I don’t know what they’re going to do in 2024 when he’s no longer President?  Will be wacky in the unemployment line.” Michael Loftus @foxandfriends"
Don,WITCH HUNT!
Hillary,Automatically donate every time Trump tweets something offensive with our new tool: https://t.co/XcTt51uKsd https://t.co/WPM1I9yeVv
Hillary,"Trump just declared a #FAKENationalEmergency at the border. Trump is going around Congress, the will of the people, &amp; abusing the powers of the presidency to build his hateful wall. There’s no time to waste - it’s time to mobilize to defend our democracy. Here’s what you can do:"
Don,"Created under the Tax Cuts and Jobs Act, Opportunity Zones help lift low income Americans out of poverty by encouraging local investment in communities that have faced economic hardship. https://t.co/ZWUOIUGtxV"
Don,"Mark Morgan, President Obama’s Border Patrol Chief, gave the following message to me: “President Trump, stay the course.” I agree, and believe it or not, we are making great progress with a system that has been broken for many years!"
Barry,Don't miss it. #GetCovered https://t.co/gMIOgP4ukJ
Don,"Hurricane on its way to the Florida Pan Handle with major elements arriving tomorrow. Could also hit, in later stage, parts of Georgia, and unfortunately North Carolina, and South Carolina, again..."
Hillary,#DebateNight https://t.co/x4oTfkIlHS
Barry,Listen to President Obama's advice on going to college for high school seniors—including his oldest daughter. http://t.co/SvqO4wyZiW
Barry,"""As Americans, we should be proud of this achievement."" —President Obama #IranDeal"
Barry,Last year was the second-best year for job creation since the late 1990s—but there's more work to do. https://t.co/Ogiw7piGBf
Hillary,Janet Mills will be the first woman governor of Maine. Cindy Axne and Abby Finkenauer will be the first women to represent Iowa in the House. Finkenauer and Alexandria Ocasio-Cortez are the youngest women to be elected to Congress ever.
Hillary,99% more Florida Latinos have already voted early than at this point in 2012. Join them: https://t.co/cqsal32OB3 https://t.co/WIdCeGUUcu
Barry,Read how President Obama is laying the groundwork for criminal justice reform: http://t.co/6kkFqjgec0
