bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yrs_old,assess_cd,price
4,1,1220,8075,1,2,46,5,240000
4,2.5,2620,7553,2,3,19,9,605000
4,2.5,2570,5520,2,3,15,7,625000
4,2.25,4220,24186,1,3,31,6,775000
5,2.75,3595,5639,2,3,1,5,861990
3,1,1570,2280,2,3,93,8,685000
3,1,1280,9656,1,4,56,3,309000
3,2.5,3160,13603,2,3,12,9,488000
3,1,990,8528,1,3,49,2,210490
4,2.5,2290,13416,2,4,34,5,785000
3,1.75,1250,5963,1,4,62,7,450000
3,2.5,2753,65005,1,5,62,1,1350000
3,1,1190,9199,1,3,60,10,228000
5,2.5,3150,9134,1,4,49,7,345000
3,1.75,1410,4080,1,4,65,3,600000
2,1.75,1980,8550,1,3,34,7,585000
5,2.25,2730,6000,1.5,3,88,3,920000
4,2.5,2830,5000,2,3,20,8,885000
4,2.5,2250,4495,2,3,7,1,292500
3,2.5,2420,4750,2,3,12,6,301000
5,3.25,3250,14342,2,4,47,2,951000
4,3,1850,9976,2,3,24,4,430000
3,2.25,2150,21235,1,4,56,7,650000
3,1.75,1260,8400,1,3,61,4,289000
3,1.75,2519,8690,2,5,42,10,505000
3,1.75,1540,1044,3,3,1,5,549000
3,2.25,1660,6000,1,3,36,4,425000
3,2.75,2770,3809,1.5,5,90,6,317625
4,2.5,2720,11049,2,3,26,7,975000
4,2.5,2240,4648,2,3,10,9,287000
3,1,1000,12070,1,4,47,3,204000
5,2.25,3200,20158,1,3,50,1,1325000
5,3.25,4770,50094,1,4,42,6,1040000
3,2,1260,5612,1,4,43,7,325000
4,2,2750,7807,1.5,5,99,6,571000
4,2.5,2380,5000,2,3,10,6,360000
3,1.75,1790,50529,1,5,50,2,349000
4,4,3430,35102,2,4,29,4,832500
4,1.75,1760,7300,1,3,59,11,380000
3,1,1040,5060,1,3,74,4,480000
3,1,1410,5060,1,4,59,1,410000
4,2.5,3450,39683,2,3,13,4,720000
3,2.5,2350,5100,2,3,12,1,390000
4,2.5,1900,5889,2,3,23,12,360000
2,1,2020,6720,1,3,67,11,355000
3,1.5,1680,8712,1,3,51,3,356000
3,1,960,6634,1,3,63,4,315000
3,1.5,2140,3600,2,3,90,6,940000
5,2.25,2660,8400,1.5,5,54,1,305000
3,3.25,2770,6278,2,3,9,12,461000
2,2.25,1610,2040,2,4,36,9,215000
2,1.75,1030,1066,2,3,9,11,335000
4,2.5,1980,7403,2,3,27,7,243500
5,2.75,3520,6353,2,4,14,6,1099880
3,1,1200,10500,1,3,53,6,153000
3,1.5,1580,5000,1,3,76,11,430000
3,1.5,1580,5000,1,3,76,10,700000
4,2.5,3300,10250,1,3,69,1,905000
3,1.75,1960,15681,1,3,48,2,247500
4,1.5,1160,6400,1,4,40,4,199000
3,1.75,1810,41800,1,5,35,8,314000
3,2.5,2320,36847,2,3,23,7,437500
3,2.5,2070,13241,1.5,5,105,11,850830
3,2,1980,3478,1.5,4,86,9,555000
3,2.25,2190,107593,2,4,32,11,699950
3,2.5,2920,8113,2,3,65,6,1088000
3,1,1210,33919,1,3,61,8,290000
3,2.5,2340,10005,1,4,37,9,375000
3,1,1670,4005,1.5,4,76,10,460000
2,1.75,1240,2493,1,4,30,9,188500
4,2.5,3140,28037,2,4,24,9,680000
5,1.75,2030,12342,2,4,73,8,470000
4,2.5,2310,9624,2,3,31,11,597750
3,1.75,1260,3328,1,5,110,8,570000
3,1.75,1540,12600,1,4,35,7,272500
3,1.75,2080,5969,1,3,44,4,329950
4,2.5,3230,16171,2,3,14,5,480000
3,3.5,4380,6350,2,3,115,3,740500
3,3.5,,1102,3,3,5,4,518500
2,1,880,6780,1,4,70,8,205425
4,2,1570,9600,1,3,65,5,171800
4,1,1610,2982,1.5,4,90,11,535000
3,2.5,2400,6474,1,3,51,3,660000
3,2,1450,9132,1,3,28,2,391500
2,1,770,6000,1,3,62,11,395000
4,1.75,2100,4400,1.5,5,91,2,445000
3,2.25,2910,10204,2,3,25,12,770000
4,2.75,2750,17789,1.5,3,101,3,1450000
3,2.25,2100,8201,1,3,48,9,445000
4,2.25,2160,8811,1,3,37,9,260000
5,3.5,2320,4960,2,5,89,6,822500
4,2.5,2070,4310,2,3,11,6,430000
3,1.75,1060,7875,1,4,29,11,212000
4,2.25,2010,9603,1,3,29,4,660500
3,3.5,3950,111078,1.5,3,26,1,784000
3,2.5,2010,2287,2,3,1,1,453246
4,3.5,2140,2278,3,3,10,9,675000
3,1.75,1320,17390,1,4,59,7,199000
4,1.75,2020,7840,1,3,47,3,220000
4,2.25,2590,10002,1,4,47,2,452000
2,1,1190,4440,1,3,34,7,382500
3,2.25,1170,1249,3,3,1,3,519950
2,1,1110,3200,1,3,90,12,665000
5,2.5,2820,9375,1,4,47,1,527700
3,1,1610,8579,1,4,53,2,205000
3,1,1060,8097,1,4,92,12,420000
4,2.25,2030,8517,1,4,54,2,500000
4,2.5,3670,315374,2,4,21,11,921500
4,1,2550,4000,2,3,110,7,890000
2,2.5,2420,60984,2,3,8,4,430000
5,2,2260,12500,1,4,55,12,258000
3,1,1430,3455,1,3,68,3,511000
3,2,1360,3090,2,3,25,7,532170
3,1,1110,5000,1.5,3,68,11,560000
3,1,1250,8200,1,4,61,4,282950
1,1,700,5100,1,3,73,4,350000
3,1,1180,7669,1,4,48,8,215000
5,3.5,3960,25245,2,3,19,11,650000
4,2.75,2640,7500,1,3,48,3,320000
3,2,1270,7198,1.5,3,99,1,247000
4,1.75,1760,11180,1,4,47,6,320000
5,2.25,2060,8632,1,3,53,8,255000
3,1.75,1780,9660,1,3,53,1,438000
3,2.5,3400,16603,2,3,15,1,900000
3,2.75,1910,7280,1,3,36,8,441000
3,2,2020,38332,1,4,40,2,420000
3,1.75,1580,7000,1,3,39,12,370000
2,1.75,1340,7250,1,5,66,3,269950
4,2.5,2680,4499,2,3,16,11,807100
3,2.5,2680,9750,1,4,36,4,653000
3,2,1370,8336,1,5,51,7,371500
3,1.75,1560,21000,1,3,61,8,284000
3,1.75,2160,7140,1,4,37,6,272000
3,1.5,1340,7912,1.5,3,60,3,313000
4,2.5,3880,35003,2,3,31,6,917500
4,2.25,2590,8190,2,4,35,6,673000
3,2.5,1120,1100,2,3,7,11,425000
5,2.75,1970,5400,1,3,29,8,399950
3,1,1220,4800,1,3,114,6,385000
3,1.5,1950,7560,1,4,40,4,269950
2,1,1350,8220,1,3,66,11,330000
3,2.5,1670,5797,2,3,27,8,260000
4,3,2380,5125,1.5,4,90,7,470000
4,3,2440,9600,2,5,54,7,589000
2,1.5,1050,3419,2,3,19,5,163500
4,2.75,3130,13412,2,3,22,3,835000
5,3,4090,12850,1,4,29,1,1095000
4,1.75,1490,10000,1,4,46,9,269000
3,2.5,1900,8744,2,3,28,9,560000
4,1,1330,2400,1.5,4,114,8,615000
3,2.25,2230,10026,1,3,40,10,585188
3,1.75,1650,9480,1,3,38,8,305000
3,1,1190,8820,1,3,56,7,166950
3,2.5,2140,9897,1,4,56,1,799000
3,2.5,2180,7508,1,4,53,5,400000
3,1,1060,10228,1,3,67,3,230000
3,2.5,1690,5025,2,3,12,1,256883
4,2,1970,6480,1.5,5,95,7,423000
3,2.5,2150,4084,2,3,8,6,465000
3,2.5,1910,66211,2,3,18,5,440000
3,1.75,1350,155073,1,4,46,8,385000
3,1,860,11725,1,4,72,6,210000
3,2.5,1940,14952,2,3,21,5,297000
3,1,1010,5000,1,3,63,12,470000
3,1.5,1300,7370,1,4,39,4,226500
3,1,910,8450,1,4,53,11,274250
4,1.75,2480,11010,1,4,49,10,840000
3,2.5,2440,4587,2,3,5,12,677900
3,1,1010,5864,1,3,100,2,425000
2,0.75,900,9600,1,3,74,5,180250
6,3,2300,3404,2,3,95,12,464000
4,2.25,1550,7579,2,3,22,4,320000
3,2.25,1270,1566,2,3,1,10,625504
4,2.5,2240,12032,1,3,32,6,592500
3,2.5,2714,17936,2,3,10,3,465000
4,2.75,1720,6270,2,3,37,1,477000
2,1,850,16400,1,3,92,7,280000
5,3,3300,33474,1,3,58,1,1505000
3,2.5,2250,5692,2,3,15,8,445838
2,2.25,3900,14864,1,3,68,10,1072000
2,1.5,1320,10800,1,4,68,1,467000
4,2.5,2760,6440,2,3,16,12,686000
3,2,1750,9750,1,3,54,1,279950
4,2.25,2330,19436,2,3,28,2,527000
3,2.25,2220,16020,1,4,49,10,325000
3,2.25,2020,8379,2,3,21,7,328000
3,2.25,1250,7500,1,5,73,9,390000
2,2,1510,6516,1,3,10,2,479950
4,2.25,1720,9753,1,4,37,9,264950
3,1,1430,15246,1,4,54,7,235000
3,2.5,1480,4729,2,3,11,3,516500
2,1.75,1450,15798,2,3,100,11,655000
4,2.75,2280,15347,1,5,55,4,500000
6,2.75,2940,7350,1,3,37,10,315000
2,1,1000,10200,1,3,54,8,213000
3,1.5,2480,5280,1.5,5,68,4,475000
5,4,3760,28040,2,3,32,1,1025000
3,2,2220,94300,1,5,39,12,416000
4,1,1970,4740,1.5,3,111,8,410000
3,3.5,3830,221284,2,3,22,7,800000
6,2.5,4410,14034,1,4,50,3,472000
3,1.75,1430,8505,1,4,47,8,225000
2,1,830,6000,1,3,75,6,210000
2,1,1430,5000,1.5,2,90,3,455000
3,1,1300,8316,1,4,61,10,225000
2,1,1030,3060,1,4,97,1,480000
3,2.5,2740,11872,2,3,25,9,363000
2,1.5,720,5120,1,3,61,2,181000
4,2,2010,7312,1,4,39,9,250000
3,1.75,1560,3000,1,4,97,11,481000
3,2,1810,7209,1,4,37,7,260000
4,2.5,3360,7685,2,3,14,12,455000
3,2.25,1510,36224,2,3,24,2,415000
3,1,1400,3538,1,3,62,10,349500
3,2.5,1730,7442,2,3,28,8,245000
2,2,1420,9191,1.5,5,87,7,592500
4,1.75,2360,7620,1,4,60,3,385000
3,1.75,1580,11455,1,4,41,5,315000
3,1,1230,10170,1,3,36,12,255000
4,2.5,2460,4425,2,3,9,12,693000
3,1,1660,4400,1.5,3,104,11,780000
3,1.75,1270,8470,1,4,55,11,237000
3,2.25,2100,40510,2,3,36,10,525000
2,1,770,5040,1,3,85,8,425000
1,0.75,760,10079,1,5,79,8,369900
4,2.5,1700,7280,2,4,27,7,290000
3,1,1120,10701,1,3,61,5,285000
2,1,1070,4500,1,3,78,5,415000
3,2.5,2070,9900,1,3,36,5,272500
4,4.75,5310,57346,2,4,26,3,1365000
2,1,1040,7538,1,4,76,5,436000
3,1,1700,11390,1,4,48,12,210000
3,1,1300,5898,1,3,54,2,236000
3,1.75,1080,1306,1,3,61,8,331000
3,2.5,2653,4510,2,3,9,2,365000
3,2,2290,16258,1,5,55,2,450000
4,2.75,3820,26300,2,3,1,7,770000
4,2.5,2210,49375,1,3,18,6,455000
3,1.75,2390,6000,1,3,107,9,405000
4,1.75,2600,11325,1,4,46,3,304900
2,1,860,5265,1,3,84,10,170000
5,3,3830,8480,2,5,110,1,2050000
4,2.5,3500,7048,2,3,10,9,780000
3,3,2420,13959,1,4,27,1,330000
4,2.5,2720,8666,2,3,23,1,370000
5,2.25,2500,13500,1,3,36,8,467000
3,1.75,1670,6720,1,3,35,5,405000
5,2.25,2900,10300,1,3,30,12,675000
2,1,1640,14100,1,4,61,12,500000
4,2.5,1890,15770,2,4,47,3,389999
4,1.75,2950,9025,1,4,40,12,630000
4,2.5,2160,9528,2,3,23,7,360000
4,3,3280,11060,2,3,29,8,580000
3,2,1970,4166,2,5,86,8,550000
4,2.5,3360,22111,2,3,21,4,879000
3,2,1320,8959,1,3,22,8,265000
3,2.5,2650,7286,2,3,25,3,446500
3,1.5,2030,8880,1,3,52,5,404000
3,1.75,1590,11914,1,3,58,8,267500
3,2.5,2440,7632,2,3,17,3,335000
3,2.5,1940,9000,1,4,67,10,576000
3,2.5,2040,3810,2,3,9,6,208633
3,2.25,2200,8750,1,4,51,5,315000
3,1.75,1920,3300,1,4,102,2,725000
4,2.75,1800,7750,1,4,50,2,550000
4,2.25,2180,7297,2,3,31,4,610750
2,1,1010,5000,1.5,4,107,5,550700
4,2.75,3320,10574,2,5,55,9,665000
4,2.5,2370,4000,1.5,5,87,9,834000
5,1.75,1660,78408,1.5,3,100,2,201000
5,2.5,3650,9050,2,5,94,1,2384000
4,3.25,4290,12103,1,3,18,8,1384000
4,3.25,4290,12103,1,3,18,9,1400000
4,2.25,1950,7700,1,3,36,5,305000
3,2,2590,14052,1,5,67,8,487000
3,2.5,1930,64904,1,4,27,6,390000
2,1,1470,3864,1,4,99,5,548000
4,1,800,8775,1,3,72,11,268750
5,2.75,3150,7119,2,3,2,1,819900
3,2.25,2030,16200,2,3,31,2,520000
3,2,1450,11204,1,3,12,12,230000
3,1.75,1510,10248,1,3,46,11,240000
2,1,1240,12092,1,3,93,5,232000
2,1,1240,12092,1,3,93,2,240500
3,2.5,3030,45004,2,3,28,12,274975
4,2,2050,4400,1.5,4,93,1,740000
3,1,1000,7636,1,2,63,2,186375
3,2.25,2370,10289,1,4,38,7,790000
4,3.5,2800,6750,2,3,64,10,880000
6,1.75,2240,11180,2,4,60,4,279000
3,2,1810,10530,1,3,24,3,295000
2,1,1070,5000,1,3,91,11,640000
4,2,2490,9525,2,5,47,1,940000
4,2.5,1960,5238,2,3,12,4,260000
3,2.75,2930,5569,1,3,11,5,559900
4,2,1510,3500,1.5,5,104,12,791500
3,1.75,1420,8250,1,3,61,1,265000
3,1.75,1740,11547,1,3,61,3,245000
4,1.75,2560,43995,2,4,53,5,485000
4,3.5,3040,8414,2,3,5,7,684000
3,1.75,2500,6840,1,3,58,3,425000
4,1.75,1275,20000,1,4,24,12,309600
4,2.5,2580,5823,2,3,13,10,552250
4,1,1000,7134,1,3,72,9,165000
4,1,1000,7134,1,3,72,11,239900
2,1,1070,32633,1,4,85,8,320000
3,2,1390,13464,1,4,28,7,206600
4,1.75,2500,7690,1,3,42,9,387000
1,0.75,560,12120,1,3,48,7,299000
4,2.75,2270,10460,2,3,50,6,855000
3,1,1900,14400,1,4,61,4,315000
2,1,990,3120,1,5,108,2,437500
4,1.5,1550,19800,1,4,46,5,252000
4,1.75,2200,7475,1,5,60,10,375000
4,2.5,1910,4862,2,3,10,12,300000
4,1,1750,9600,1.5,4,61,1,420000
3,1,1330,77972,1,3,87,6,900000
3,2.5,2440,5750,2,3,15,7,679900
3,2.5,1640,29970,2,3,23,11,463000
5,2.5,2760,11340,2,4,37,5,380000
4,2.5,1820,7912,2,3,21,4,329500
3,2.5,2110,5608,1,3,2,4,604950
5,2.5,3040,9570,1,4,49,5,795000
3,2,1840,40438,2,3,21,12,465000
4,2.5,2990,10400,2,3,13,5,673000
4,2.5,3520,15420,2,3,24,12,810000
4,2.75,2440,69415,1,4,26,2,785000
4,3,2090,7500,1,3,29,3,338000
3,2.25,1430,7222,2,3,22,4,280000
4,2.25,2180,10754,1,5,61,5,315000
4,2.25,2180,10754,1,5,61,3,530000
5,3,3450,9914,2,3,11,6,380000
3,2.25,1450,7562,2,3,21,7,297000
4,2.5,3230,7331,2,3,11,4,730000
3,1.75,1640,13500,1,3,75,12,450000
3,3,1590,7750,1,3,18,12,275000
4,2,2020,2849,2,3,55,12,595000
3,1.5,1300,3348,1.5,3,111,5,435000
2,1.5,1380,209959,1,1,61,4,270000
3,3,4040,14338,2,3,29,2,950000
4,2.25,2130,5337,2,3,14,1,389000
4,2.25,2550,7800,1,3,47,6,560000
5,3.5,4800,14984,2,3,17,3,1350000
4,2.25,2510,11585,2,4,46,7,799000
3,2,1410,9600,1,4,32,1,365500
3,2,1650,7352,1,3,36,4,252350
4,2.5,2120,13780,2,3,22,11,403950
4,1.5,2040,10726,1,3,61,6,385000
4,1,1550,7620,1.5,3,58,6,345000
3,2.75,1980,3128,2,4,36,11,490000
3,2.5,1600,26977,2,3,10,6,330000
4,2.75,3300,12090,2,3,62,6,927000
4,2.5,3840,16619,2,4,32,9,1118000
2,1,1220,10000,1,5,65,2,330000
5,2.25,2720,8800,1,4,57,2,530000
4,2,1940,25600,1,1,53,2,365000
3,2.5,2160,3000,1.5,3,106,1,378750
4,1.75,1530,8750,1.5,4,47,7,269900
3,3.5,1710,2096,2,3,7,12,557000
4,1.75,3730,16980,1,4,41,1,360000
2,1,940,5000,1,4,78,4,352000
3,2.5,1750,22357,2,3,21,11,437000
4,2.5,1820,6753,2,3,21,8,322500
3,3.25,1510,2000,2,3,14,8,650000
3,2,1290,1213,3,3,14,9,450000
3,2,1570,5250,1,3,17,6,278500
4,2.5,1930,6957,2,3,20,5,364950
4,3.5,2840,40139,1,4,29,2,840000
3,2.5,1550,8134,2,3,24,10,268000
2,1,833,143947,1,3,9,3,517534
3,2.5,2990,32239,2,4,37,6,632925
3,2.5,2000,7251,2,3,20,2,577500
4,1.5,2390,7480,1.5,3,95,11,339000
3,1.75,2910,37461,1,4,48,7,570000
4,1.75,2085,174240,1,3,51,9,563500
4,2.25,2200,9351,1,5,53,11,423000
3,2.25,1860,5028,2,3,3,3,355000
5,4.25,6070,171626,2,3,16,6,1550000
2,1,950,3960,1,3,74,3,482000
3,1.75,1600,9135,1,5,60,11,625000
3,2.5,2250,11632,2,3,27,7,538000
3,2.5,2280,10255,2,4,30,2,380000
2,1,940,5120,1,3,106,11,375000
3,2.5,1530,8500,1,5,19,1,245000
5,1.75,2190,27260,1,4,68,5,310000
3,2,2350,15021,1,4,39,6,1300000
4,2,1440,7680,1,3,44,7,397000
3,2.5,2200,4052,2,3,10,6,365000
4,3,2290,8250,2,3,25,8,328500
4,3,4040,19700,2,3,28,11,988000
4,2.5,2610,3277,1.5,5,93,2,1000000
3,2.5,1490,2138,2,3,10,11,237000
4,2.5,2450,5280,2,3,12,11,525000
4,2.5,1710,9627,1,3,39,1,749000
5,2.5,4870,11800,2,3,32,9,722500
3,2.5,3130,8750,2,3,24,11,843000
2,2,1270,1372,3,3,15,3,438000
3,1.75,2120,10875,1,3,38,7,578000
3,1.5,1670,8230,1,5,61,7,227950
3,2.25,2070,11576,2,3,41,1,196000
2,1,1420,5332,1,3,62,11,641000
3,1.5,1250,219978,1,4,35,8,350000
3,1,940,7980,1,4,55,1,205000
3,1.75,1920,9102,1,3,47,7,400000
3,2.5,3545,9816,1,3,10,10,1030000
3,2,1260,5460,1,3,43,7,505000
5,2.5,2340,7200,1,3,40,2,475000
3,2.25,2590,9263,1,5,38,11,520000
3,4.5,3970,24920,2,3,38,4,1450000
3,1.75,1220,9732,1,3,50,8,333500
3,1,1400,10403,1,4,39,9,232000
3,2.75,2360,16117,1,4,32,6,691100
3,1.75,1870,9897,1,4,55,5,811000
3,2.5,2830,5802,2,3,14,3,551000
3,2.5,2260,3640,2,3,21,7,496500
3,3,1970,20978,2,4,35,1,705000
4,2.5,3140,9225,1,5,49,11,578000
3,1.75,1240,8659,1,5,29,11,255000
4,3.5,3450,7832,2,3,8,11,1050000
3,2.25,2570,8491,2,4,26,12,348000
3,2,1510,3413,2,3,30,1,230000
4,2.25,2390,11250,2,3,27,10,359500
3,1,980,7000,1,3,62,2,330000
1,0.75,430,5050,1,2,103,8,80000
3,1.75,1480,6360,1,3,61,8,465000
4,2.5,1850,7324,2,3,18,5,325000
3,2,2270,28025,1,4,68,9,340500
3,2.5,1810,5192,2,3,22,3,342500
2,2,1610,17600,2,3,85,4,290900
3,4.25,3840,6161,2,3,15,8,868700
4,2.75,4110,8400,2,3,87,1,1199000
4,3.25,4190,10259,2,3,15,6,1150000
4,2.75,3390,6298,2,3,4,7,859900
4,2.25,1890,3006,2,3,12,1,520000
3,2.5,1610,2527,2,3,10,6,460000
3,1.5,1050,4590,1,3,66,10,438924
2,1,630,6550,1,3,97,2,315000
4,2.75,2910,10650,1,3,40,9,590000
4,1.75,1700,8640,1,3,60,5,378500
3,2.5,1950,8130,2,4,25,6,328500
3,3,2990,9773,2,4,42,1,849950
3,1.5,1350,6000,1,3,65,6,525000
4,3.25,4860,181319,2.5,3,22,7,1385000
4,2.5,2160,7725,1,4,37,11,295000
6,3.5,4860,11793,2,3,17,5,1067000
2,2,890,5000,1,3,98,3,207950
4,2.75,2810,7302,2,3,13,9,699900
5,2.5,3400,9500,2,4,38,9,1280000
4,1.5,1580,7350,1,4,52,6,452000
3,2,1680,5036,1,4,28,10,370000
3,1.75,1300,11230,1,5,47,1,232000
5,2.5,2820,14062,2,4,55,3,669950
3,2,1510,6710,1,3,43,2,397500
2,2.5,1230,1391,2,3,11,6,490000
4,2,2110,4140,2,3,90,2,725000
3,2.75,3080,19635,1,4,57,1,299000
2,1.5,1490,5750,1.5,4,115,12,625000
3,2.5,2120,4500,2,3,15,5,437500
4,2.5,3180,5438,2,3,12,7,650000
2,1,1490,3825,1,3,86,7,475000
3,2,1930,11947,1,4,49,5,342000
4,2.5,2770,7800,2,3,16,1,1197354
3,1.5,1670,11610,1,4,52,10,280000
2,1.75,1330,7200,1,3,22,11,240000
3,1,1210,3328,1.5,4,91,10,529000
3,1,1190,5100,1,4,74,6,442000
2,1,1540,6872,1,4,69,11,615000
4,3.75,4030,10800,2,3,9,2,1485000
4,1.75,2430,7559,1,4,34,4,585000
4,2.5,2600,7787,2,3,10,2,480000
5,3.5,4410,57063,2,4,25,12,1095000
4,1,1330,8184,1.5,3,66,5,290000
3,1.75,1900,5000,1,5,64,10,615000
2,1,1100,7680,1,4,65,7,300000
3,1,1980,39150,1.5,3,83,7,308000
3,2.5,2400,7745,2,3,14,11,750000
4,3.25,3180,194278,2,3,10,1,890000
3,1,1190,7560,1,5,57,8,288000
2,1,630,6000,1,3,72,9,190000
5,3,2530,5105,1,3,10,10,515000
4,1.5,1690,11054,1,4,85,10,235000
2,1,940,5000,1,3,64,2,275000
2,2,1240,9119,1,4,63,8,727500
4,2.5,3040,6587,2,3,12,8,650000
6,5,6050,230652,2,3,14,3,1600000
4,1,1590,7085,1.5,3,71,7,365000
3,1.75,2500,36947,1,3,31,7,662000
3,2.5,1780,7848,1,3,37,7,270500
2,1.5,1360,1898,2,3,37,8,200000
4,3.25,4740,76230,2,3,28,9,970000
3,1.5,1010,9600,1,4,53,2,160000
3,1,1040,7405,1,4,44,10,204000
3,2.25,1610,6655,2,4,30,12,358000
4,1.75,1570,8268,1,3,36,2,452000
2,2,1510,4000,1,4,115,10,595000
3,2,1360,6082,1,3,21,5,249000
4,2.5,1970,5106,2,3,16,9,346900
4,2.5,1560,4350,2,3,12,4,280000
4,1.75,2320,12000,1,4,42,8,318888
3,2.25,2120,40518,1,3,48,1,530000
3,2.25,2120,18500,2,4,32,11,375000
4,2.5,3350,29242,2,3,27,12,910000
4,2.5,2380,9614,2,4,24,5,782000
2,2,1070,649,2,3,7,5,259950
4,2.75,2300,18360,1,4,36,5,315000
2,1,1320,8865,1,4,72,4,215000
3,1.75,2180,10221,1,4,69,4,705000
3,3,4380,6320,2,5,63,11,1450000
3,1.75,1790,9813,2,3,66,8,451000
2,1,750,8125,1,4,72,11,261000
3,1.5,1300,8280,1,5,59,4,396000
4,2.5,2990,29170,2,3,16,8,725000
7,3.5,4640,15235,2,3,50,10,1950000
4,1,1400,7242,1.5,3,56,7,238000
6,1.75,2750,9563,2,4,42,10,750000
4,2.5,2050,10271,2,3,17,11,331500
4,3,2230,108900,1,3,37,10,460000
4,2.25,2340,217014,1,4,33,11,404950
3,2.5,2870,5163,2,3,1,8,880000
4,2.5,4120,22370,2,3,18,7,863000
3,1.75,2080,9162,1,3,55,10,638700
3,2.5,1840,5680,2,3,7,5,435000
3,1,1180,5350,1.5,4,56,1,260000
5,2.75,2160,4000,1.5,5,88,6,671500
3,1,1180,3400,1.5,3,108,12,610000
2,0.75,1160,15029,1,4,78,2,405000
4,2.5,1830,5612,2,3,12,11,338900
4,4,3200,7708,2,3,11,2,720000
5,3,2560,5445,1.5,4,88,7,442000
5,2.75,2550,5040,1.5,5,113,10,650000
3,1.75,1330,9917,1,3,34,10,263500
2,1,1220,75794,1,4,52,12,300000
3,2.5,1805,3402,2,3,6,3,266000
4,2.5,2320,5493,2,3,11,7,530000
3,1,1384,8960,1,4,50,1,180000
3,2.5,2720,6439,2,3,10,1,619000
3,1.5,1820,10608,1,4,53,2,264000
2,2.25,2130,4920,1.5,4,74,3,730000
4,2.25,2060,10070,2,3,40,4,439000
4,1.75,1420,7500,1,4,34,12,268500
3,1.75,1510,15744,1,3,30,2,330000
3,2.5,2160,4000,1.5,3,112,7,640000
3,2.5,3180,12600,2,4,37,6,900000
3,2.25,2110,13300,2,4,30,5,370000
3,2,2060,2900,1.5,5,84,2,685000
3,1.5,1830,217800,1,3,34,12,505000
3,1.75,1820,32666,1,4,49,6,265000
3,2.5,1610,2937,2,3,9,12,290000
4,2.5,1780,3600,2,3,9,2,296000
4,2.5,1840,9611,2,3,19,7,360000
3,1.75,1460,10584,1,3,18,2,240500
2,2.5,1400,2958,2,3,8,5,372500
3,2.5,3370,14402,2,3,11,12,595000
4,3,3590,8249,2,3,18,3,515000
4,2.25,3200,15367,2,4,53,11,1220000
2,1.75,1670,6460,1,3,11,11,507000
4,2,2420,31465,1,3,31,8,399950
3,1.75,1430,10816,2,3,21,4,185000
3,1.75,1440,7070,1,3,35,8,460000
3,2.25,1450,4789,2,3,30,8,435500
4,2.75,3550,13938,1,5,49,11,469000
2,3,1270,1175,2,3,15,10,531000
2,1,940,6804,1,3,66,11,443500
3,2,1670,6824,1,3,25,4,223000
4,3.5,3100,15842,2,3,19,1,590000
2,2.5,1100,1760,3,3,18,3,340000
3,2,1870,3388,1,4,90,11,650000
3,2.5,1930,5080,2,4,25,8,533600
3,2.75,2540,4694,2,3,10,5,695000
