age,workclass,educ_level,marital_status,occupation,relationship,race,gender,hours_per_wk,us_native,over_50k
27,Private,13,Never-married,Adm-clerical,Not-in-family,White,Female,37,Yes,No
53,Local-gov,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,Yes,No
60,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Yes,Yes
18,Private,9,Never-married,Machine-op-inspct,Own-child,Black,Male,40,Yes,No
42,Private,9,Married-civ-spouse,Other-service,Wife,Black,Female,60,Yes,No
47,Unknown,11,Married-civ-spouse,,Husband,White,Male,45,Yes,No
19,Unknown,10,Never-married,,Own-child,White,Female,30,Yes,No
55,Private,4,Married-civ-spouse,Transport-moving,Husband,White,Male,50,Yes,No
73,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,Yes,No
30,Unknown,7,Married-civ-spouse,,Husband,White,Male,35,Yes,No
32,Unknown,4,Widowed,,Not-in-family,White,Female,40,Yes,No
30,Private,10,Never-married,Sales,Own-child,White,Male,30,Yes,No
26,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,78,Yes,No
46,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Yes,Yes
33,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,35,,No
33,Private,7,Divorced,Exec-managerial,Unmarried,White,Female,40,Yes,Yes
38,Self-emp-not-inc,12,Divorced,Other-service,Unmarried,White,Female,20,Yes,No
37,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,45,Yes,No
51,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Yes,Yes
27,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,55,Yes,No
44,Local-gov,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,Yes,No
51,Private,9,Divorced,Machine-op-inspct,Unmarried,White,Female,40,Yes,No
53,Local-gov,9,Divorced,Exec-managerial,Not-in-family,White,Male,40,Yes,No
41,Private,13,Never-married,Tech-support,Not-in-family,White,Male,40,Yes,No
43,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,No,No
54,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,White,Male,65,Yes,No
32,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,Yes,No
74,State-gov,16,Never-married,Prof-specialty,Other-relative,White,Female,20,Yes,Yes
30,Private,7,Never-married,Sales,Unmarried,White,Female,8,Yes,No
23,Local-gov,9,Never-married,Craft-repair,Own-child,White,Male,40,Yes,No
37,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,Yes,Yes
40,Private,11,Divorced,Other-service,Not-in-family,White,Female,32,Yes,No
22,Federal-gov,10,Never-married,Adm-clerical,Own-child,White,Female,20,Yes,No
36,Private,9,Separated,Transport-moving,Other-relative,White,Male,60,No,No
32,Self-emp-not-inc,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,Yes,No
47,Private,9,Divorced,Other-service,Own-child,White,Female,32,Yes,No
45,Local-gov,13,Divorced,Prof-specialty,Unmarried,White,Female,40,Yes,No
32,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Yes,No
33,Private,13,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,35,No,No
38,Private,14,Divorced,Exec-managerial,Not-in-family,White,Female,40,Yes,No
27,Private,13,Never-married,Exec-managerial,Own-child,White,Female,40,Yes,No
30,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,Yes,No
42,Private,10,Divorced,Sales,Unmarried,White,Male,40,Yes,No
30,Private,13,Never-married,Sales,Not-in-family,White,Female,40,Yes,No
57,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,Yes,Yes
49,Unknown,6,Separated,,Own-child,White,Male,40,Yes,No
31,Private,9,Never-married,Craft-repair,Own-child,Black,Male,40,Yes,No
42,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,Yes,Yes
39,Private,13,Married-civ-spouse,Sales,Husband,White,Male,45,Yes,Yes
29,Without-pay,10,Married-civ-spouse,Farming-fishing,Own-child,White,Male,65,Yes,No
49,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,Yes,No
18,Private,7,Never-married,Sales,Own-child,White,Female,25,Yes,No
24,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Yes,Yes
40,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,Yes,No
34,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,25,Yes,No
42,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,60,Yes,No
44,Self-emp-not-inc,6,Married-civ-spouse,Other-service,Husband,White,Male,70,Yes,No
43,Federal-gov,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Yes,No
23,Private,10,Never-married,Sales,Own-child,White,Female,8,Yes,No
38,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,45,Yes,No
35,Private,10,Married-civ-spouse,Sales,Husband,White,Male,55,Yes,Yes
26,Private,9,Never-married,Other-service,Own-child,White,Female,40,Yes,No
24,State-gov,13,Never-married,Prof-specialty,Not-in-family,White,Male,15,Yes,No
49,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Yes,Yes
43,Private,6,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,Yes,No
59,Private,7,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,40,Yes,No
51,Private,8,Separated,Transport-moving,Not-in-family,Black,Male,40,Yes,No
18,Unknown,9,Never-married,,Own-child,White,Female,35,Yes,No
45,Private,9,Never-married,Exec-managerial,Not-in-family,Black,Female,40,Yes,No
47,Private,3,Married-spouse-absent,Machine-op-inspct,Other-relative,White,Male,40,No,No
21,Private,9,Never-married,Adm-clerical,Own-child,White,Female,35,Yes,No
46,Private,10,Separated,Tech-support,Unmarried,White,Female,55,Yes,No
26,Private,11,Never-married,Tech-support,Not-in-family,White,Male,40,Yes,Yes
41,Private,11,Never-married,Craft-repair,Not-in-family,White,Male,30,Yes,No
21,Private,10,Never-married,Other-service,Own-child,White,Female,40,Yes,No
46,State-gov,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,Yes,No
40,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,45,Yes,No
26,Private,9,Divorced,Exec-managerial,Own-child,White,Male,40,Yes,No
39,Private,13,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Yes,No
18,Private,8,Never-married,Sales,Own-child,White,Female,20,Yes,No
20,Private,9,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,48,Yes,No
23,Private,9,Separated,Other-service,Own-child,White,Female,40,Yes,No
35,Private,9,Never-married,Transport-moving,Unmarried,Black,Male,72,Yes,No
24,Private,6,Divorced,Handlers-cleaners,Unmarried,White,Female,58,Yes,No
50,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,35,Yes,No
24,Private,9,Never-married,Other-service,Own-child,White,Female,30,Yes,No
36,Private,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,Yes,Yes
53,Private,9,Divorced,Priv-house-serv,Not-in-family,White,Female,50,Yes,No
19,Private,10,Never-married,Sales,Own-child,White,Female,18,Yes,No
25,Private,9,Divorced,Other-service,Not-in-family,White,Male,50,Yes,No
47,Private,9,Divorced,Sales,Not-in-family,White,Male,40,Yes,No
37,Private,9,Never-married,Craft-repair,Unmarried,White,Male,40,Yes,No
53,Local-gov,13,Divorced,Prof-specialty,Not-in-family,White,Female,54,Yes,No
39,Private,9,Separated,Adm-clerical,Not-in-family,White,Male,40,Yes,Yes
32,Private,6,Separated,Craft-repair,Unmarried,Black,Female,40,,No
37,Private,9,Never-married,Adm-clerical,Own-child,White,Female,37,Yes,No
33,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,No
19,Private,7,Never-married,Craft-repair,Not-in-family,White,Male,56,Yes,No
26,Private,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,20,No,No
38,Private,9,Divorced,Tech-support,Not-in-family,White,Male,45,Yes,No
61,Local-gov,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,Yes,No
34,Private,10,Never-married,Prof-specialty,Own-child,White,Male,35,Yes,No
33,Private,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,Yes,No
39,Private,9,Divorced,Exec-managerial,Other-relative,White,Female,40,Yes,No
46,Private,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,40,Yes,Yes
46,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,No
27,Private,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,No,No
46,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,58,Yes,No
40,State-gov,10,Divorced,Adm-clerical,Not-in-family,Black,Female,35,Yes,No
34,Self-emp-not-inc,13,Never-married,Sales,Not-in-family,White,Male,62,Yes,No
45,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,No
53,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,Yes,No
43,Private,14,Married-civ-spouse,Exec-managerial,Wife,Black,Female,50,Yes,Yes
51,Private,5,Married-civ-spouse,Sales,Husband,White,Male,40,Yes,No
60,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,Yes,No
23,Private,13,Never-married,Adm-clerical,Own-child,White,Male,40,Yes,No
78,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,Yes,No
45,Private,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,Yes,Yes
24,Self-emp-not-inc,10,Married-civ-spouse,Transport-moving,Husband,White,Male,60,Yes,No
48,Private,13,Divorced,Adm-clerical,Own-child,White,Male,38,Yes,Yes
40,Private,10,Divorced,Transport-moving,Not-in-family,Black,Female,40,Yes,No
21,Private,9,Never-married,Craft-repair,Not-in-family,White,Female,30,Yes,No
35,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,Yes,No
43,Private,10,Divorced,Prof-specialty,Unmarried,White,Female,40,Yes,No
34,Private,9,Never-married,Other-service,Unmarried,Black,Female,40,Yes,No
38,Private,10,Never-married,Adm-clerical,Own-child,Black,Female,40,Yes,No
38,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,No,Yes
63,Unknown,5,Separated,,Not-in-family,Black,Male,40,Yes,No
17,Private,6,Never-married,Sales,Own-child,White,Female,12,Yes,No
44,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,No
39,Unknown,9,Never-married,,Not-in-family,White,Male,40,Yes,No
41,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,Yes,Yes
30,Self-emp-not-inc,9,Never-married,Sales,Unmarried,White,Male,66,Yes,No
28,Private,13,Never-married,Other-service,Not-in-family,White,Male,43,No,No
24,Private,7,Never-married,Adm-clerical,Not-in-family,White,Female,40,No,No
46,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,Yes,Yes
21,Private,9,Never-married,Transport-moving,Own-child,White,Male,48,Yes,No
34,Private,15,Married-civ-spouse,Sales,Husband,White,Male,40,Yes,Yes
61,Private,13,Married-civ-spouse,Sales,Husband,White,Male,32,Yes,Yes
36,Private,10,Married-civ-spouse,Sales,Husband,White,Male,45,Yes,No
29,Local-gov,13,Never-married,Tech-support,Not-in-family,White,Female,40,Yes,No
41,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,Yes,Yes
53,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,No,No
50,Local-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,Yes,No
42,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,Yes,Yes
32,Private,9,Never-married,Transport-moving,Not-in-family,White,Male,60,Yes,No
56,Federal-gov,13,Never-married,Transport-moving,Not-in-family,Black,Male,65,Yes,No
39,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,40,Yes,No
18,Private,4,Never-married,Other-service,Own-child,White,Female,40,Yes,No
40,Private,1,Never-married,Other-service,Not-in-family,White,Female,20,Yes,No
47,Unknown,9,Widowed,,Unmarried,White,Female,40,Yes,No
35,Federal-gov,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,No,No
43,Private,7,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,25,Yes,No
60,Private,9,Widowed,Handlers-cleaners,Not-in-family,White,Female,40,Yes,No
43,Local-gov,10,Divorced,Adm-clerical,Unmarried,White,Female,20,Yes,No
39,Private,9,Divorced,Craft-repair,Unmarried,White,Male,50,No,No
50,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,Yes,Yes
55,Self-emp-not-inc,9,Married-civ-spouse,Transport-moving,Husband,White,Male,72,Yes,No
71,Private,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,50,Yes,Yes
49,Private,5,Separated,Handlers-cleaners,Own-child,White,Male,38,Yes,No
23,Private,9,Never-married,Sales,Unmarried,White,Female,48,Yes,No
56,State-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,Yes,No
39,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,Yes,Yes
58,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,70,Yes,No
27,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,32,Yes,No
39,Private,14,Never-married,Prof-specialty,Own-child,White,Female,40,Yes,No
45,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,48,,No
23,Unknown,10,Never-married,,Not-in-family,White,Male,40,Yes,No
48,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,Yes,Yes
31,Private,5,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,No
18,Private,10,Never-married,Other-service,Own-child,White,Female,12,Yes,No
37,Private,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,65,Yes,No
37,Private,13,Never-married,Adm-clerical,Not-in-family,Black,Female,40,Yes,No
45,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,Yes,No
37,Private,9,Divorced,Machine-op-inspct,Unmarried,White,Male,40,Yes,Yes
57,Self-emp-not-inc,14,Never-married,Farming-fishing,Not-in-family,White,Male,20,Yes,No
53,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,72,Yes,No
32,Federal-gov,10,Divorced,Adm-clerical,Unmarried,White,Male,40,No,No
48,Private,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,No,Yes
50,Private,10,Divorced,Prof-specialty,Unmarried,White,Female,40,Yes,No
21,Private,11,Never-married,Exec-managerial,Own-child,White,Male,40,Yes,No
22,Private,10,Never-married,Sales,Own-child,White,Female,20,No,No
32,Self-emp-not-inc,10,Separated,Farming-fishing,Unmarried,White,Female,65,Yes,No
40,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,Yes,Yes
40,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,Yes,No
22,Private,9,Never-married,Craft-repair,Own-child,White,Male,40,Yes,No
22,Private,10,Married-civ-spouse,Sales,Wife,White,Female,30,No,No
37,Self-emp-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,Yes,Yes
26,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,45,Yes,No
43,Private,9,Separated,Transport-moving,Not-in-family,White,Male,40,Yes,No
52,Private,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,Yes,No
53,Private,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,40,Yes,Yes
39,Self-emp-inc,14,Divorced,Exec-managerial,Not-in-family,Black,Male,70,Yes,Yes
24,Private,13,Never-married,Adm-clerical,Not-in-family,White,Female,42,Yes,No
44,Private,9,Never-married,Craft-repair,Not-in-family,Black,Male,60,Yes,No
42,State-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,20,Yes,Yes
36,Private,10,Never-married,Machine-op-inspct,Unmarried,White,Male,45,Yes,No
31,Private,9,Never-married,Sales,Unmarried,Black,Female,25,Yes,No
30,Private,10,Never-married,Sales,Not-in-family,White,Female,45,Yes,No
38,Federal-gov,9,Never-married,Adm-clerical,Own-child,Black,Female,40,Yes,No
40,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Yes,Yes
43,Private,14,Never-married,Exec-managerial,Not-in-family,White,Female,25,Yes,No
50,Self-emp-not-inc,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,80,Yes,No
28,Private,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,Yes,No
27,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,Yes,No
29,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,48,Yes,No
39,Self-emp-not-inc,13,Separated,Craft-repair,Own-child,White,Male,35,Yes,No
29,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Yes,No
53,Private,10,Divorced,Adm-clerical,Other-relative,White,Female,40,Yes,No
28,Self-emp-not-inc,9,Married-civ-spouse,Sales,Wife,White,Female,40,Yes,No
17,Private,7,Never-married,Other-service,Own-child,White,Female,25,Yes,No
37,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,Yes,Yes
24,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,Yes,No
42,Private,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,No,No
23,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,50,Yes,No
53,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,52,Yes,Yes
58,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,No
19,Private,9,Never-married,Adm-clerical,Own-child,White,Female,35,Yes,No
32,Private,12,Divorced,Adm-clerical,Unmarried,White,Female,40,Yes,No
47,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Yes,Yes
45,Unknown,10,Married-civ-spouse,,Wife,Black,Female,40,Yes,No
24,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,45,Yes,No
42,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,No,No
48,Self-emp-inc,14,Married-civ-spouse,Other-service,Husband,White,Male,40,Yes,No
27,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,Yes,No
39,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,No
37,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Yes,No
56,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,Yes,Yes
25,Private,3,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,40,Yes,No
25,Private,10,Never-married,Tech-support,Not-in-family,White,Male,40,Yes,No
21,Unknown,10,Never-married,,Not-in-family,White,Female,35,Yes,No
56,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,Yes,Yes
30,Local-gov,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,Yes,No
35,Private,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,42,Yes,Yes
17,Unknown,6,Never-married,,Own-child,White,Male,8,Yes,No
32,Self-emp-not-inc,9,Married-civ-spouse,Transport-moving,Husband,White,Male,48,Yes,No
50,Private,12,Divorced,Craft-repair,Not-in-family,Black,Male,45,Yes,No
18,Private,9,Married-spouse-absent,Other-service,Own-child,Black,Male,40,No,No
33,Private,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,Yes,No
50,Private,4,Married-civ-spouse,Other-service,Wife,White,Female,35,,No
21,State-gov,10,Never-married,Exec-managerial,Own-child,White,Male,10,Yes,No
34,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,50,Yes,No
23,Local-gov,13,Never-married,Prof-specialty,Unmarried,White,Male,40,Yes,No
22,Private,9,Never-married,Other-service,Own-child,White,Male,40,,No
21,Private,10,Never-married,Other-service,Own-child,White,Female,25,Yes,No
48,Federal-gov,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,Yes,No
28,Private,12,Divorced,Adm-clerical,Not-in-family,White,Female,40,Yes,No
45,Private,13,Married-spouse-absent,Exec-managerial,Unmarried,White,Male,40,Yes,No
24,Private,9,Never-married,Handlers-cleaners,Unmarried,White,Male,45,Yes,No
60,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,40,Yes,No
30,Private,10,Never-married,Machine-op-inspct,Own-child,Black,Female,40,Yes,No
41,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Yes,Yes
29,Private,4,Never-married,Craft-repair,Not-in-family,White,Male,40,Yes,No
33,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,45,Yes,Yes
72,Self-emp-not-inc,4,Married-civ-spouse,Other-service,Husband,White,Male,45,Yes,No
40,Local-gov,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,36,Yes,No
35,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,Yes,No
57,State-gov,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Yes,Yes
59,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,Yes
62,Unknown,5,Married-civ-spouse,,Husband,White,Male,21,Yes,No
58,Private,13,Divorced,Exec-managerial,Unmarried,White,Female,35,Yes,No
28,Private,10,Separated,Handlers-cleaners,Not-in-family,Black,Male,40,Yes,No
19,Private,10,Never-married,Other-service,Own-child,White,Male,20,Yes,No
54,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Yes,Yes
49,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Yes,No
36,Private,12,Married-civ-spouse,Tech-support,Husband,White,Male,40,Yes,Yes
28,Private,10,Never-married,Exec-managerial,Own-child,White,Female,40,Yes,No
50,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,Yes,Yes
61,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,No
34,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,Yes,No
40,Private,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,35,Yes,No
31,Private,12,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,Yes
32,State-gov,10,Never-married,Adm-clerical,Not-in-family,White,Male,38,Yes,No
19,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,Yes,No
19,Private,10,Never-married,Adm-clerical,Own-child,White,Male,40,Yes,No
31,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,Yes
36,Private,13,Divorced,Sales,Own-child,White,Female,40,Yes,No
34,Private,9,Married-civ-spouse,Other-service,Husband,Black,Male,30,Yes,No
33,Private,9,Divorced,Craft-repair,Not-in-family,White,Female,40,Yes,No
28,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Yes,Yes
48,Local-gov,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,Yes,No
47,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Yes,Yes
37,Self-emp-inc,14,Divorced,Exec-managerial,Not-in-family,White,Female,70,Yes,No
34,Unknown,9,Married-civ-spouse,,Husband,Black,Male,10,Yes,No
34,Private,9,Separated,Sales,Unmarried,White,Female,50,Yes,No
57,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,Yes,No
34,Private,9,Divorced,Machine-op-inspct,Unmarried,White,Female,40,Yes,No
20,Private,10,Never-married,Transport-moving,Own-child,White,Male,40,Yes,No
52,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Yes,No
43,Private,9,Married-civ-spouse,Sales,Other-relative,White,Female,44,No,No
63,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Yes,Yes
57,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,Yes,No
54,Self-emp-not-inc,14,Married-civ-spouse,Sales,Husband,White,Male,45,Yes,Yes
66,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,White,Male,60,Yes,Yes
24,Private,13,Never-married,Prof-specialty,Own-child,Black,Female,35,Yes,No
40,Private,13,Never-married,Sales,Not-in-family,Other,Female,55,Yes,Yes
27,Unknown,11,Married-civ-spouse,,Wife,Amer-Indian-Eskimo,Female,40,Yes,Yes
27,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,Yes,Yes
51,Local-gov,10,Divorced,Protective-serv,Unmarried,Black,Female,40,Yes,No
27,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,90,Yes,Yes
28,Private,9,Never-married,Adm-clerical,Not-in-family,Black,Male,40,No,No
56,Private,9,Widowed,Sales,Not-in-family,White,Female,40,Yes,No
32,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,Yes,No
31,Private,7,Never-married,Craft-repair,Not-in-family,White,Male,40,Yes,No
49,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,Yes,No
31,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,Yes,No
30,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,52,Yes,Yes
